OutputID,OutputName,OutputType,ComponentCategory,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 28,Column 29,Column 30,Column 31
energy-rapidfire-xs-t3,Energy Rapidfire XS T3,SHIP_WEAPONS,ENERGY,XS,3,540,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire XS T2,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
energy-rapidfire-xs-t4,Energy Rapidfire XS T4,SHIP_WEAPONS,ENERGY,XS,4,720,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire XS T3,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
energy-rapidfire-xs-t5,Energy Rapidfire XS T5,SHIP_WEAPONS,ENERGY,XS,5,900,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire XS T4,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
energy-rapidfire-s-t1,Energy Rapidfire S T1,SHIP_WEAPONS,ENERGY,S,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,,,
energy-rapidfire-s-t2,Energy Rapidfire S T2,SHIP_WEAPONS,ENERGY,S,2,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire S T1,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
energy-rapidfire-s-t3,Energy Rapidfire S T3,SHIP_WEAPONS,ENERGY,S,3,720,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire S T2,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
energy-rapidfire-s-t4,Energy Rapidfire S T4,SHIP_WEAPONS,ENERGY,S,4,960,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire S T3,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
energy-rapidfire-s-t5,Energy Rapidfire S T5,SHIP_WEAPONS,ENERGY,S,5,1200,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire S T4,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
energy-rapidfire-m-t1,Energy Rapidfire M T1,SHIP_WEAPONS,ENERGY,M,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Military Energy Array,1,Enhanced Energy Core,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-m-t2,Energy Rapidfire M T2,SHIP_WEAPONS,ENERGY,M,2,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire M T1,1,Military Energy Array,1,Enhanced Energy Core,1,Rapidfire Controller,1,,,,,,,,,,,,,,
energy-rapidfire-m-t3,Energy Rapidfire M T3,SHIP_WEAPONS,ENERGY,M,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire M T2,1,Military Energy Array,1,Enhanced Energy Core,1,Rapidfire Controller,1,,,,,,,,,,,,,,
energy-rapidfire-m-t4,Energy Rapidfire M T4,SHIP_WEAPONS,ENERGY,M,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire M T3,1,Military Energy Array,1,Enhanced Energy Core,1,Rapidfire Controller,1,,,,,,,,,,,,,,
energy-rapidfire-m-t5,Energy Rapidfire M T5,SHIP_WEAPONS,ENERGY,M,5,1500,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire M T4,1,Military Energy Array,1,Enhanced Energy Core,1,Rapidfire Controller,1,,,,,,,,,,,,,,
energy-rapidfire-l-t1,Energy Rapidfire L T1,SHIP_WEAPONS,ENERGY,L,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,,,
energy-rapidfire-l-t2,Energy Rapidfire L T2,SHIP_WEAPONS,ENERGY,L,2,720,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire L T1,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-rapidfire-l-t3,Energy Rapidfire L T3,SHIP_WEAPONS,ENERGY,L,3,1080,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire L T2,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-rapidfire-l-t4,Energy Rapidfire L T4,SHIP_WEAPONS,ENERGY,L,4,1440,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire L T3,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-rapidfire-l-t5,Energy Rapidfire L T5,SHIP_WEAPONS,ENERGY,L,5,1800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire L T4,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-rapidfire-cap-t1,Energy Rapidfire CAP T1,SHIP_WEAPONS,ENERGY,CAP,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,,,
energy-rapidfire-cap-t2,Energy Rapidfire CAP T2,SHIP_WEAPONS,ENERGY,CAP,2,840,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire CAP T1,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-rapidfire-cap-t3,Energy Rapidfire CAP T3,SHIP_WEAPONS,ENERGY,CAP,3,1260,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire CAP T2,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-rapidfire-cap-t4,Energy Rapidfire CAP T4,SHIP_WEAPONS,ENERGY,CAP,4,1680,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire CAP T3,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-rapidfire-cap-t5,Energy Rapidfire CAP T5,SHIP_WEAPONS,ENERGY,CAP,5,2100,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire CAP T4,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-rapidfire-cmd-t1,Energy Rapidfire CMD T1,SHIP_WEAPONS,ENERGY,CMD,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-rapidfire-cmd-t2,Energy Rapidfire CMD T2,SHIP_WEAPONS,ENERGY,CMD,2,960,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CMD T1,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,
energy-rapidfire-cmd-t3,Energy Rapidfire CMD T3,SHIP_WEAPONS,ENERGY,CMD,3,1440,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CMD T2,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,
energy-rapidfire-cmd-t4,Energy Rapidfire CMD T4,SHIP_WEAPONS,ENERGY,CMD,4,1920,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CMD T3,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,
energy-rapidfire-cmd-t5,Energy Rapidfire CMD T5,SHIP_WEAPONS,ENERGY,CMD,5,2400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CMD T4,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,
energy-rapidfire-class8-t1,Energy Rapidfire CLASS8 T1,SHIP_WEAPONS,ENERGY,CLASS8,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,,,
energy-rapidfire-class8-t2,Energy Rapidfire CLASS8 T2,SHIP_WEAPONS,ENERGY,CLASS8,2,1080,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CLASS8 T1,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,
energy-rapidfire-class8-t3,Energy Rapidfire CLASS8 T3,SHIP_WEAPONS,ENERGY,CLASS8,3,1620,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CLASS8 T2,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,
energy-rapidfire-class8-t4,Energy Rapidfire CLASS8 T4,SHIP_WEAPONS,ENERGY,CLASS8,4,2160,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CLASS8 T3,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,
energy-rapidfire-class8-t5,Energy Rapidfire CLASS8 T5,SHIP_WEAPONS,ENERGY,CLASS8,5,2700,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire CLASS8 T4,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,
energy-rapidfire-ttn-t1,Energy Rapidfire TTN T1,SHIP_WEAPONS,ENERGY,TTN,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,,,
energy-rapidfire-ttn-t2,Energy Rapidfire TTN T2,SHIP_WEAPONS,ENERGY,TTN,2,1200,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire TTN T1,1,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,
energy-rapidfire-ttn-t3,Energy Rapidfire TTN T3,SHIP_WEAPONS,ENERGY,TTN,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire TTN T2,1,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,
energy-rapidfire-ttn-t4,Energy Rapidfire TTN T4,SHIP_WEAPONS,ENERGY,TTN,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire TTN T3,1,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,
energy-rapidfire-ttn-t5,Energy Rapidfire TTN T5,SHIP_WEAPONS,ENERGY,TTN,5,3000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,5,Energy Rapidfire TTN T4,1,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,
energy-cannon-xxxs-t1,Energy Cannon XXXS T1,SHIP_WEAPONS,ENERGY,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,,,
energy-cannon-xxxs-t2,Energy Cannon XXXS T2,SHIP_WEAPONS,ENERGY,XXXS,2,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXXS T1,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xxxs-t3,Energy Cannon XXXS T3,SHIP_WEAPONS,ENERGY,XXXS,3,180,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXXS T2,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xxxs-t4,Energy Cannon XXXS T4,SHIP_WEAPONS,ENERGY,XXXS,4,240,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXXS T3,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xxxs-t5,Energy Cannon XXXS T5,SHIP_WEAPONS,ENERGY,XXXS,5,300,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXXS T4,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xxs-t1,Energy Cannon XXS T1,SHIP_WEAPONS,ENERGY,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,,,
energy-cannon-xxs-t2,Energy Cannon XXS T2,SHIP_WEAPONS,ENERGY,XXS,2,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXS T1,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xxs-t3,Energy Cannon XXS T3,SHIP_WEAPONS,ENERGY,XXS,3,360,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXS T2,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xxs-t4,Energy Cannon XXS T4,SHIP_WEAPONS,ENERGY,XXS,4,480,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXS T3,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xxs-t5,Energy Cannon XXS T5,SHIP_WEAPONS,ENERGY,XXS,5,600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,3,Energy Cannon XXS T4,1,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-xs-t1,Energy Cannon XS T1,SHIP_WEAPONS,ENERGY,XS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,,,
energy-cannon-xs-t2,Energy Cannon XS T2,SHIP_WEAPONS,ENERGY,XS,2,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon XS T1,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-xs-t3,Energy Cannon XS T3,SHIP_WEAPONS,ENERGY,XS,3,540,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon XS T2,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-xs-t4,Energy Cannon XS T4,SHIP_WEAPONS,ENERGY,XS,4,720,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon XS T3,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-xs-t5,Energy Cannon XS T5,SHIP_WEAPONS,ENERGY,XS,5,900,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon XS T4,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-s-t1,Energy Cannon S T1,SHIP_WEAPONS,ENERGY,S,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,,,
energy-cannon-s-t2,Energy Cannon S T2,SHIP_WEAPONS,ENERGY,S,2,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon S T1,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-s-t3,Energy Cannon S T3,SHIP_WEAPONS,ENERGY,S,3,720,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon S T2,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-s-t4,Energy Cannon S T4,SHIP_WEAPONS,ENERGY,S,4,960,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon S T3,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-s-t5,Energy Cannon S T5,SHIP_WEAPONS,ENERGY,S,5,1200,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon S T4,1,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,
energy-cannon-m-t1,Energy Cannon M T1,SHIP_WEAPONS,ENERGY,M,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Military Energy Array,1,Enhanced Energy Core,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-m-t2,Energy Cannon M T2,SHIP_WEAPONS,ENERGY,M,2,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon M T1,1,Military Energy Array,1,Enhanced Energy Core,1,Cannon Breech,1,,,,,,,,,,,,,,
energy-cannon-m-t3,Energy Cannon M T3,SHIP_WEAPONS,ENERGY,M,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon M T2,1,Military Energy Array,1,Enhanced Energy Core,1,Cannon Breech,1,,,,,,,,,,,,,,
energy-cannon-m-t4,Energy Cannon M T4,SHIP_WEAPONS,ENERGY,M,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon M T3,1,Military Energy Array,1,Enhanced Energy Core,1,Cannon Breech,1,,,,,,,,,,,,,,
energy-cannon-m-t5,Energy Cannon M T5,SHIP_WEAPONS,ENERGY,M,5,1500,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon M T4,1,Military Energy Array,1,Enhanced Energy Core,1,Cannon Breech,1,,,,,,,,,,,,,,
energy-cannon-l-t1,Energy Cannon L T1,SHIP_WEAPONS,ENERGY,L,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,,,
energy-cannon-l-t2,Energy Cannon L T2,SHIP_WEAPONS,ENERGY,L,2,720,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon L T1,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-cannon-l-t3,Energy Cannon L T3,SHIP_WEAPONS,ENERGY,L,3,1080,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon L T2,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-cannon-l-t4,Energy Cannon L T4,SHIP_WEAPONS,ENERGY,L,4,1440,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon L T3,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-cannon-l-t5,Energy Cannon L T5,SHIP_WEAPONS,ENERGY,L,5,1800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon L T4,1,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,
energy-cannon-cap-t1,Energy Cannon CAP T1,SHIP_WEAPONS,ENERGY,CAP,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,,,
energy-cannon-cap-t2,Energy Cannon CAP T2,SHIP_WEAPONS,ENERGY,CAP,2,840,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon CAP T1,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-cannon-cap-t3,Energy Cannon CAP T3,SHIP_WEAPONS,ENERGY,CAP,3,1260,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon CAP T2,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-cannon-cap-t4,Energy Cannon CAP T4,SHIP_WEAPONS,ENERGY,CAP,4,1680,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon CAP T3,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-cannon-cap-t5,Energy Cannon CAP T5,SHIP_WEAPONS,ENERGY,CAP,5,2100,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,4,Energy Cannon CAP T4,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
