"OutputID","OutputName","OutputType","OutputTier","ConstructionTime","PlanetTypes","Factions","ResourceType","FunctionalPurpose","UsageCategory","Ingredients","CompletionStatus"
"11","Heat Sink S T1","SHIP_COMPONENTS","1","240","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"12","Heat Sink S T2","SHIP_COMPONENTS","2","480","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink S T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"13","Heat Sink S T3","SHIP_COMPONENTS","3","1200","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink S T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"14","Heat Sink S T4","SHIP_COMPONENTS","4","2400","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink S T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"15","Heat Sink S T5","SHIP_COMPONENTS","5","4800","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink S T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"16","Heat Sink M T1","SHIP_COMPONENTS","1","300","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"17","Heat Sink M T2","SHIP_COMPONENTS","2","600","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink M T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"18","Heat Sink M T3","SHIP_COMPONENTS","3","1500","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink M T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"19","Heat Sink M T4","SHIP_COMPONENTS","4","3000","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink M T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"20","Heat Sink M T5","SHIP_COMPONENTS","5","6000","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink M T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"21","Heat Sink L T1","SHIP_COMPONENTS","1","360","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1","complete"
"22","Heat Sink L T2","SHIP_COMPONENTS","2","720","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink L T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1","complete"
"23","Heat Sink L T3","SHIP_COMPONENTS","3","1800","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink L T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1","complete"
"24","Heat Sink L T4","SHIP_COMPONENTS","4","3600","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink L T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1","complete"
"25","Heat Sink L T5","SHIP_COMPONENTS","5","7200","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink L T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1","complete"
"26","Heat Sink CAP T1","SHIP_COMPONENTS","1","420","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"27","Heat Sink CAP T2","SHIP_COMPONENTS","2","840","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CAP T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"28","Heat Sink CAP T3","SHIP_COMPONENTS","3","2100","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CAP T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"29","Heat Sink CAP T4","SHIP_COMPONENTS","4","4200","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CAP T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"30","Heat Sink CAP T5","SHIP_COMPONENTS","5","8400","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CAP T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"31","Heat Sink CMD T1","SHIP_COMPONENTS","1","480","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"32","Heat Sink CMD T2","SHIP_COMPONENTS","2","960","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CMD T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"33","Heat Sink CMD T3","SHIP_COMPONENTS","3","2400","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CMD T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"34","Heat Sink CMD T4","SHIP_COMPONENTS","4","4800","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CMD T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"35","Heat Sink CMD T5","SHIP_COMPONENTS","5","9600","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CMD T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"36","Heat Sink CLASS8 T1","SHIP_COMPONENTS","1","540","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"37","Heat Sink CLASS8 T2","SHIP_COMPONENTS","2","1080","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CLASS8 T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"38","Heat Sink CLASS8 T3","SHIP_COMPONENTS","3","2700","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CLASS8 T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"39","Heat Sink CLASS8 T4","SHIP_COMPONENTS","4","5400","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CLASS8 T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"40","Heat Sink CLASS8 T5","SHIP_COMPONENTS","5","10800","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink CLASS8 T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"41","Heat Sink TTN T1","SHIP_COMPONENTS","1","600","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1;Titan Structural Matrix:1","complete"
"42","Heat Sink TTN T2","SHIP_COMPONENTS","2","1200","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink TTN T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1;Titan Structural Matrix:1","complete"
"43","Heat Sink TTN T3","SHIP_COMPONENTS","3","3000","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink TTN T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1;Titan Structural Matrix:1","complete"
"44","Heat Sink TTN T4","SHIP_COMPONENTS","4","6000","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink TTN T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1;Titan Structural Matrix:1","complete"
"45","Heat Sink TTN T5","SHIP_COMPONENTS","5","12000","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink TTN T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1;Titan Structural Matrix:1","complete"
"46","Hull Reinforcement XXS T1","SHIP_COMPONENTS","1","120","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"47","Hull Reinforcement XXS T2","SHIP_COMPONENTS","2","240","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XXS T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"48","Hull Reinforcement XXS T3","SHIP_COMPONENTS","3","600","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XXS T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"49","Hull Reinforcement XXS T4","SHIP_COMPONENTS","4","1200","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XXS T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"50","Hull Reinforcement XXS T5","SHIP_COMPONENTS","5","2400","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XXS T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"51","Hull Reinforcement XS T1","SHIP_COMPONENTS","1","180","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"52","Hull Reinforcement XS T2","SHIP_COMPONENTS","2","360","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XS T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"53","Hull Reinforcement XS T3","SHIP_COMPONENTS","3","900","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XS T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"54","Hull Reinforcement XS T4","SHIP_COMPONENTS","4","1800","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XS T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"55","Hull Reinforcement XS T5","SHIP_COMPONENTS","5","3600","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement XS T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"56","Hull Reinforcement S T1","SHIP_COMPONENTS","1","240","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"57","Hull Reinforcement S T2","SHIP_COMPONENTS","2","480","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement S T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"58","Hull Reinforcement S T3","SHIP_COMPONENTS","3","1200","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement S T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"59","Hull Reinforcement S T4","SHIP_COMPONENTS","4","2400","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement S T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"60","Hull Reinforcement S T5","SHIP_COMPONENTS","5","4800","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement S T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"61","Hull Reinforcement M T1","SHIP_COMPONENTS","1","300","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"62","Hull Reinforcement M T2","SHIP_COMPONENTS","2","600","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement M T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"63","Hull Reinforcement M T3","SHIP_COMPONENTS","3","1500","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement M T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"64","Hull Reinforcement M T4","SHIP_COMPONENTS","4","3000","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement M T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"65","Hull Reinforcement M T5","SHIP_COMPONENTS","5","6000","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement M T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1","complete"
"66","Hull Reinforcement L T1","SHIP_COMPONENTS","1","360","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1","complete"
"67","Hull Reinforcement L T2","SHIP_COMPONENTS","2","720","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement L T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1","complete"
"68","Hull Reinforcement L T3","SHIP_COMPONENTS","3","1800","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement L T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1","complete"
"69","Hull Reinforcement L T4","SHIP_COMPONENTS","4","3600","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement L T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1","complete"
"70","Hull Reinforcement L T5","SHIP_COMPONENTS","5","7200","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement L T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1","complete"
"71","Hull Reinforcement CAP T1","SHIP_COMPONENTS","1","420","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"72","Hull Reinforcement CAP T2","SHIP_COMPONENTS","2","840","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CAP T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"73","Hull Reinforcement CAP T3","SHIP_COMPONENTS","3","2100","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CAP T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"74","Hull Reinforcement CAP T4","SHIP_COMPONENTS","4","4200","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CAP T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"75","Hull Reinforcement CAP T5","SHIP_COMPONENTS","5","8400","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CAP T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1","complete"
"76","Hull Reinforcement CMD T1","SHIP_COMPONENTS","1","480","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"77","Hull Reinforcement CMD T2","SHIP_COMPONENTS","2","960","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CMD T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"78","Hull Reinforcement CMD T3","SHIP_COMPONENTS","3","2400","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CMD T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"79","Hull Reinforcement CMD T4","SHIP_COMPONENTS","4","4800","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CMD T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"80","Hull Reinforcement CMD T5","SHIP_COMPONENTS","5","9600","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CMD T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1","complete"
"81","Hull Reinforcement CLASS8 T1","SHIP_COMPONENTS","1","540","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"82","Hull Reinforcement CLASS8 T2","SHIP_COMPONENTS","2","1080","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CLASS8 T1:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"83","Hull Reinforcement CLASS8 T3","SHIP_COMPONENTS","3","2700","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CLASS8 T2:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"84","Hull Reinforcement CLASS8 T4","SHIP_COMPONENTS","4","5400","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CLASS8 T3:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
"85","Hull Reinforcement CLASS8 T5","SHIP_COMPONENTS","5","10800","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Hull Reinforcement CLASS8 T4:1;Structural Framework:1;Armor Plating:1;Reinforcement Matrix:1;Structural Reinforcement Grid:1;Architectural Framework:1;Megastructure Support System:1;Gigascale Architecture:1","complete"
