OutputID,OutputName,OutputType,OutputTier,BuildingResourceTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7
oceanic-storage-hub-t2,Oceanic Storage Hub,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Copper,24,Copper,18,Monitoring Circuits,21,,,,,,
oceanic-storage-hub-t3,Oceanic Storage Hub,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,28,Copper,21,Monitoring Circuits,25,Alloy Frame,23,,,,
oceanic-storage-hub-t4,Oceanic Storage Hub,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,43,Bio Stabilizer,34,Copper,25,Monitoring Circuits,30,Alloy Frame,27,Exotic Matter Core,25,,
oceanic-storage-hub-t5,Oceanic Storage Hub,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,52,Bio Stabilizer,41,Copper,30,Monitoring Circuits,35,Alloy Frame,32,Exotic Matter Core,29,Base Structure,27
oceanic-farm-hub-t1,Oceanic Farm Hub,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-farm-hub-t2,Oceanic Farm Hub,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Copper,24,Copper,18,Exotic Matter Core,21,,,,,,
oceanic-farm-hub-t3,Oceanic Farm Hub,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,35,Copper,29,Copper,21,Exotic Matter Core,25,Generator Coils,23,,,,
oceanic-farm-hub-t4,Oceanic Farm Hub,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,42,Bio Stabilizer,34,Copper,25,Exotic Matter Core,30,Generator Coils,28,Processing Core,25,,
oceanic-farm-hub-t5,Oceanic Farm Hub,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,49,Bio Stabilizer,40,Copper,30,Exotic Matter Core,36,Generator Coils,34,Processing Core,30,Tin,27
oceanic-power-plant-t1,Oceanic Power Plant,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-power-plant-t2,Oceanic Power Plant,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Copper,24,Copper,18,Alloy Frame,21,,,,,,
oceanic-power-plant-t3,Oceanic Power Plant,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,29,Copper,22,Alloy Frame,25,Processing Core,23,,,,
oceanic-power-plant-t4,Oceanic Power Plant,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,42,Bio Stabilizer,35,Copper,26,Alloy Frame,30,Processing Core,28,Heat Sensor,25,,
oceanic-power-plant-t5,Oceanic Power Plant,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,51,Bio Stabilizer,42,Copper,30,Alloy Frame,35,Processing Core,34,Heat Sensor,30,Heat Distribution Grid,27
oceanic-crew-quarters-t1,Oceanic Crew Quarters,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-crew-quarters-t2,Oceanic Crew Quarters,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Copper,24,Copper,18,Alloy Frame,21,,,,,,
oceanic-crew-quarters-t3,Oceanic Crew Quarters,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,29,Copper,22,Alloy Frame,25,Chromite,23,,,,
oceanic-crew-quarters-t4,Oceanic Crew Quarters,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,43,Bio Stabilizer,35,Copper,26,Alloy Frame,30,Chromite,27,Sensor Array,25,,
oceanic-crew-quarters-t5,Oceanic Crew Quarters,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,51,Bio Stabilizer,42,Copper,31,Alloy Frame,36,Chromite,32,Sensor Array,29,Transfer Lines,27
oceanic-storage-module-t1,Storage Module,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-storage-module-t2,Storage Module,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,29,Copper,24,Copper,18,Sensor Array,21,,,,,,
oceanic-storage-module-t3,Storage Module,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,34,Copper,28,Copper,22,Sensor Array,25,Load Bearing Beams,23,,,,
oceanic-storage-module-t4,Storage Module,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,40,Bio Stabilizer,33,Copper,26,Sensor Array,30,Load Bearing Beams,27,Processing Core,25,,
oceanic-storage-module-t5,Storage Module,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,48,Bio Stabilizer,38,Copper,31,Sensor Array,35,Load Bearing Beams,32,Processing Core,30,Base Structure,27
coordination-matrix-processor-t1,Coordination Matrix Processor,BUILDING,1,3,60,Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Utility Core,21,Deployment Interface,18,Neural Interface,15,,,,,,,,
coordination-matrix-processor-t2,Coordination Matrix Processor,BUILDING,2,3,45,Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Utility Core,25,Deployment Interface,22,Neural Interface,18,Maneuver Control Core,17,,,,,,
coordination-matrix-processor-t3,Coordination Matrix Processor,BUILDING,3,3,30,Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Utility Core,30,Deployment Interface,26,Neural Interface,22,Maneuver Control Core,20,EMP Matrix Core,19,,,,
coordination-matrix-processor-t4,Coordination Matrix Processor,BUILDING,4,3,25,Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Utility Core,35,Deployment Interface,31,Neural Interface,26,Maneuver Control Core,24,EMP Matrix Core,22,Resource Hub Core,21,,
coordination-matrix-processor-t5,Coordination Matrix Processor,BUILDING,5,3,20,Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Utility Core,41,Deployment Interface,37,Neural Interface,31,Maneuver Control Core,29,EMP Matrix Core,26,Resource Hub Core,25,Passenger Hub Core,23
copper-processor-t1,Copper Processor,BUILDING,1,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Heat Sensor,25,Monitoring Circuits,22,Processing Core,19,,,,,,,,
copper-processor-t2,Copper Processor,BUILDING,2,1,45,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Heat Sensor,30,Monitoring Circuits,27,Processing Core,23,Field Coils,21,,,,,,
copper-processor-t3,Copper Processor,BUILDING,3,1,30,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Heat Sensor,36,Monitoring Circuits,32,Processing Core,27,Field Coils,25,Control Circuit,23,,,,
copper-processor-t4,Copper Processor,BUILDING,4,1,25,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Heat Sensor,43,Monitoring Circuits,38,Processing Core,32,Field Coils,30,Control Circuit,27,Tin,25,,
copper-processor-t5,Copper Processor,BUILDING,5,1,20,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Heat Sensor,51,Monitoring Circuits,45,Processing Core,38,Field Coils,35,Control Circuit,32,Tin,30,Structural Shell,27
copper-wire-processor-t1,Copper Wire Processor,BUILDING,1,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Generator Coils,25,Control Circuit,22,Field Coils,19,,,,,,,,
copper-wire-processor-t2,Copper Wire Processor,BUILDING,2,1,45,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Generator Coils,29,Control Circuit,27,Field Coils,23,Heat Circulation Pipes,21,,,,,,
copper-wire-processor-t3,Copper Wire Processor,BUILDING,3,1,30,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Generator Coils,35,Control Circuit,33,Field Coils,28,Heat Circulation Pipes,25,Load Bearing Beams,23,,,,
copper-wire-processor-t4,Copper Wire Processor,BUILDING,4,1,25,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Generator Coils,41,Control Circuit,39,Field Coils,33,Heat Circulation Pipes,29,Load Bearing Beams,28,Processing Core,25,,
copper-wire-processor-t5,Copper Wire Processor,BUILDING,5,1,20,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Generator Coils,48,Control Circuit,46,Field Coils,39,Heat Circulation Pipes,34,Load Bearing Beams,33,Processing Core,30,Alloy Frame,27
electromagnetic-resonator-processor-t1,Electromagnetic Resonator Processor,BUILDING,1,4,60,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,19,Abyssal Energy Core,16,EM Quantum Core,13,,,,,,,,
electromagnetic-resonator-processor-t2,Electromagnetic Resonator Processor,BUILDING,2,4,45,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,23,Abyssal Energy Core,19,EM Quantum Core,16,Power Management Core,15,,,,,,
electromagnetic-resonator-processor-t3,Electromagnetic Resonator Processor,BUILDING,3,4,30,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,28,Abyssal Energy Core,23,EM Quantum Core,19,Power Management Core,18,Radiation Absorber,17,,,,
electromagnetic-resonator-processor-t4,Electromagnetic Resonator Processor,BUILDING,4,4,25,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,33,Abyssal Energy Core,28,EM Quantum Core,22,Power Management Core,21,Radiation Absorber,21,Energy Substrate,19,,
electromagnetic-resonator-processor-t5,Electromagnetic Resonator Processor,BUILDING,5,4,20,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,40,Abyssal Energy Core,33,EM Quantum Core,26,Power Management Core,25,Radiation Absorber,25,Energy Substrate,23,EM Bio Core,19
emergency-matrix-core-processor-t1,Emergency Matrix Core Processor,BUILDING,1,3,60,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Deployment Interface,21,Utility Core,18,Maneuver Control Core,15,,,,,,,,
emergency-matrix-core-processor-t2,Emergency Matrix Core Processor,BUILDING,2,3,45,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Deployment Interface,25,Utility Core,22,Maneuver Control Core,18,Neural Interface,17,,,,,,
emergency-matrix-core-processor-t3,Emergency Matrix Core Processor,BUILDING,3,3,30,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Deployment Interface,30,Utility Core,27,Maneuver Control Core,21,Neural Interface,21,EMP Matrix Core,19,,,,
emergency-matrix-core-processor-t4,Emergency Matrix Core Processor,BUILDING,4,3,25,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Deployment Interface,36,Utility Core,32,Maneuver Control Core,25,Neural Interface,25,EMP Matrix Core,23,Sublight Matrix Core,21,,
emergency-matrix-core-processor-t5,Emergency Matrix Core Processor,BUILDING,5,3,20,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Deployment Interface,42,Utility Core,38,Maneuver Control Core,29,Neural Interface,30,EMP Matrix Core,27,Sublight Matrix Core,25,Passenger Hub Core,23
ground-plate-processor-t1,Ground Plate Processor,BUILDING,1,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Alloy Frame,25,Load Bearing Beams,22,Base Structure,19,,,,,,,,
ground-plate-processor-t2,Ground Plate Processor,BUILDING,2,1,45,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Alloy Frame,29,Load Bearing Beams,26,Base Structure,23,Control Circuit,21,,,,,,
ground-plate-processor-t3,Ground Plate Processor,BUILDING,3,1,30,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Alloy Frame,35,Load Bearing Beams,32,Base Structure,27,Control Circuit,25,Chromite,23,,,,
ground-plate-processor-t4,Ground Plate Processor,BUILDING,4,1,25,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Alloy Frame,42,Load Bearing Beams,37,Base Structure,32,Control Circuit,30,Chromite,27,Sensor Array,25,,
ground-plate-processor-t5,Ground Plate Processor,BUILDING,5,1,20,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,Processing,1,Alloy Frame,49,Load Bearing Beams,44,Base Structure,38,Control Circuit,36,Chromite,33,Sensor Array,29,Copper Wire,27
heat-circulation-pipes-processor-t1,Heat Circulation Pipes Processor,BUILDING,1,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Kinetic Stabilizer,25,Alloy Frame,22,Temperature Sensor,19,,,,,,,,
heat-circulation-pipes-processor-t2,Heat Circulation Pipes Processor,BUILDING,2,1,45,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Kinetic Stabilizer,30,Alloy Frame,26,Temperature Sensor,23,Heat Circulation Pipes,21,,,,,,
heat-circulation-pipes-processor-t3,Heat Circulation Pipes Processor,BUILDING,3,1,30,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Kinetic Stabilizer,36,Alloy Frame,31,Temperature Sensor,27,Heat Circulation Pipes,25,Chromite,23,,,,
heat-circulation-pipes-processor-t4,Heat Circulation Pipes Processor,BUILDING,4,1,25,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Kinetic Stabilizer,43,Alloy Frame,37,Temperature Sensor,32,Heat Circulation Pipes,30,Chromite,27,Copper,25,,
heat-circulation-pipes-processor-t5,Heat Circulation Pipes Processor,BUILDING,5,1,20,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Kinetic Stabilizer,51,Alloy Frame,45,Temperature Sensor,39,Heat Circulation Pipes,36,Chromite,32,Copper,30,Structural Shell,27
heat-exchange-coils-processor-t1,Heat Exchange Coils Processor,BUILDING,1,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Structural Shell,25,Chromite,22,Processing Core,19,,,,,,,,
heat-exchange-coils-processor-t2,Heat Exchange Coils Processor,BUILDING,2,1,45,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Structural Shell,29,Chromite,27,Processing Core,23,Monitoring Circuits,21,,,,,,
heat-exchange-coils-processor-t3,Heat Exchange Coils Processor,BUILDING,3,1,30,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Structural Shell,35,Chromite,32,Processing Core,28,Monitoring Circuits,25,Transfer Lines,23,,,,
heat-exchange-coils-processor-t4,Heat Exchange Coils Processor,BUILDING,4,1,25,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Structural Shell,41,Chromite,38,Processing Core,33,Monitoring Circuits,29,Transfer Lines,27,Base Structure,25,,
heat-exchange-coils-processor-t5,Heat Exchange Coils Processor,BUILDING,5,1,20,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Structural Shell,50,Chromite,45,Processing Core,40,Monitoring Circuits,34,Transfer Lines,33,Base Structure,30,Alloy Frame,27
lunar-defense-network-processor-t1,Lunar Defense Network Processor,BUILDING,1,5,60,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,EM Bio Core,17,Beryllium Matrix,14,Lunar Energy Matrix,11,,,,,,,,
lunar-defense-network-processor-t2,Lunar Defense Network Processor,BUILDING,2,5,45,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,EM Bio Core,20,Beryllium Matrix,17,Lunar Energy Matrix,14,Strange Emitter,13,,,,,,
lunar-defense-network-processor-t3,Lunar Defense Network Processor,BUILDING,3,5,30,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,EM Bio Core,24,Beryllium Matrix,21,Lunar Energy Matrix,17,Strange Emitter,16,Super Conductor,15,,,,
lunar-defense-network-processor-t4,Lunar Defense Network Processor,BUILDING,4,5,25,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,EM Bio Core,29,Beryllium Matrix,25,Lunar Energy Matrix,21,Strange Emitter,19,Super Conductor,18,Processing Platform Core,17,,
lunar-defense-network-processor-t5,Lunar Defense Network Processor,BUILDING,5,5,20,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,EM Bio Core,34,Beryllium Matrix,30,Lunar Energy Matrix,25,Strange Emitter,23,Super Conductor,21,Processing Platform Core,20,Utility Integration Core,19
neural-interface-processor-t1,Neural Interface Processor,BUILDING,1,3,60,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,21,Deployment Interface,18,Signal Modulator,15,,,,,,,,
neural-interface-processor-t2,Neural Interface Processor,BUILDING,2,3,45,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,26,Deployment Interface,22,Signal Modulator,18,Maneuver Control Core,17,,,,,,
neural-interface-processor-t3,Neural Interface Processor,BUILDING,3,3,30,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,31,Deployment Interface,26,Signal Modulator,21,Maneuver Control Core,20,EMP Matrix Core,19,,,,
neural-interface-processor-t4,Neural Interface Processor,BUILDING,4,3,25,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,37,Deployment Interface,32,Signal Modulator,25,Maneuver Control Core,24,EMP Matrix Core,23,Neural Interface,21,,
neural-interface-processor-t5,Neural Interface Processor,BUILDING,5,3,20,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,44,Deployment Interface,39,Signal Modulator,29,Maneuver Control Core,29,EMP Matrix Core,28,Neural Interface,25,Resource Hub Core,23
phase-drive-core-processor-t1,Phase Drive Core Processor,BUILDING,1,3,60,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,21,Deployment Interface,18,Warp Control Core,15,,,,,,,,
phase-drive-core-processor-t2,Phase Drive Core Processor,BUILDING,2,3,45,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,25,Deployment Interface,22,Warp Control Core,18,Maneuver Control Core,17,,,,,,
phase-drive-core-processor-t3,Phase Drive Core Processor,BUILDING,3,3,30,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,30,Deployment Interface,26,Warp Control Core,21,Maneuver Control Core,21,Neural Interface,19,,,,
phase-drive-core-processor-t4,Phase Drive Core Processor,BUILDING,4,3,25,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,35,Deployment Interface,31,Warp Control Core,25,Maneuver Control Core,25,Neural Interface,23,Passenger Hub Core,21,,
phase-drive-core-processor-t5,Phase Drive Core Processor,BUILDING,5,3,20,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Utility Core,42,Deployment Interface,36,Warp Control Core,30,Maneuver Control Core,30,Neural Interface,28,Passenger Hub Core,25,Processing Control Core,23
sensor-array-processor-t1,Sensor Array Processor,BUILDING,1,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Base Structure,25,Heat Exchange Coils,22,Kinetic Stabilizer,19,,,,,,,,
sensor-array-processor-t2,Sensor Array Processor,BUILDING,2,1,45,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Base Structure,30,Heat Exchange Coils,27,Kinetic Stabilizer,23,Alloy Frame,21,,,,,,
sensor-array-processor-t3,Sensor Array Processor,BUILDING,3,1,30,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Base Structure,36,Heat Exchange Coils,32,Kinetic Stabilizer,28,Alloy Frame,26,Chromite,23,,,,
sensor-array-processor-t4,Sensor Array Processor,BUILDING,4,1,25,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Base Structure,42,Heat Exchange Coils,38,Kinetic Stabilizer,33,Alloy Frame,31,Chromite,27,Copper,25,,
sensor-array-processor-t5,Sensor Array Processor,BUILDING,5,1,20,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Base Structure,51,Heat Exchange Coils,46,Kinetic Stabilizer,40,Alloy Frame,37,Chromite,32,Copper,29,Heat Circulation Pipes,27
sensor-hub-core-processor-t1,Sensor Hub Core Processor,BUILDING,1,3,60,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Deployment Interface,21,Utility Core,18,Maneuver Control Core,15,,,,,,,,
sensor-hub-core-processor-t2,Sensor Hub Core Processor,BUILDING,2,3,45,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,Processing,1,Deployment Interface,26,Utility Core,21,Maneuver Control Core,18,Neural Interface,17,,,,,,
