OutputID,OutputName,ComponentCategory,OutputType,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Column 28,Column 29
black-opal,Black Opal,"KINETIC, DEFENSIVE",BASIC RESOURCE,,5,,Barren Planet,USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
boron-ore,Boron Ore,ELECTROMAGNETIC;UTILITY;HABITAT,BASIC RESOURCE,,2,,System Asteroid Belt,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
carbon,Carbon,ENERGY;THERMAL;PROPULSION;WEAPONS,BASIC RESOURCE,,1,,Gas Giant;Terrestrial Planet,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
cinnabar-crystals,Cinnabar Crystals,ELECTROMAGNETIC;WEAPONS,BASIC RESOURCE,,3,,Volcanic Planet,MUD,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
cobalt-ore,Cobalt Ore,ELECTROMAGNETIC,BASIC RESOURCE,,2,,Ice Giant;Oceanic Planet,ONI,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
copper-ore,Copper Ore,ENERGY;ELECTROMAGNETIC;UTILITY;WEAPONS,BASIC RESOURCE,,1,,Barren Planet;System Asteroid Belt,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
cryo-formation-crystals,Cryo Formation Crystals,THERMAL,BASIC RESOURCE,,3,,Ice Giant,MUD;ONI;USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
diamond,Diamond,ENERGY;DEFENSIVE;WEAPONS,BASIC RESOURCE,,2,,Dark Planet;Ice Giant;Volcanic Planet,MUD,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
dodiline-crystals,Dodiline Crystals,"ELECTROMAGNETIC, WEAPONS",BASIC RESOURCE,,4,,Volcanic Planet,USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
dysprosium,Dysprosium,"WEAPONS, DEFENSIVE",BASIC RESOURCE,,4,,Terrestrial Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
emerald-crystals,Emerald Crystals,DEFENSIVE,BASIC RESOURCE,,3,,Dark Planet,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
fluorine-gas,Fluorine Gas,DEFENSIVE,BASIC RESOURCE,,2,,Gas Giant;Volcanic Planet;Oceanic Planet,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
fusion-catalyst-deposits,Fusion Catalyst Deposits,"ENERGY, WEAPONS",BASIC RESOURCE,,5,,Dark Planet,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
garnet-crystals,Garnet Crystals,ENERGY,BASIC RESOURCE,,2,,Ice Giant;Volcanic Planet,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
germanium,Germanium,WEAPONS,BASIC RESOURCE,,1,,Dark Planet;Ice Giant,USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
glowstone-crystals,Glowstone Crystals,DEFENSIVE,BASIC RESOURCE,,3,,Volcanic Planet,ONI,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
gold-ore,Gold Ore,UTILITY,BASIC RESOURCE,,3,,Terrestrial Planet,ONI,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
hafnium-ore,Hafnium Ore,KINETIC,BASIC RESOURCE,,2,,Volcanic Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
hicenium-crystals,Hicenium Crystals,"KINETIC, UTILITY",BASIC RESOURCE,,4,,Ice Giant,MUD,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
hydrogen,Hydrogen,ENERGY;PROPULSION;DEFENSIVE;WEAPONS,BASIC RESOURCE,,1,,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
iridium-ore,Iridium Ore,"DEFENSIVE, KINETIC",BASIC RESOURCE,,4,,Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
iron-ore,Iron Ore,KINETIC;WEAPONS;HABITAT,BASIC RESOURCE,,1,,Terrestrial Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
jasphorus-crystals,Jasphorus Crystals,"WEAPONS, PROPULSION",BASIC RESOURCE,,5,,Barren Planet,ONI,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
krypton,Krypton,DEFENSIVE,BASIC RESOURCE,,1,,Barren Planet;Gas Giant;Ice Giant,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
lithium-ore,Lithium Ore,ENERGY;PROPULSION,BASIC RESOURCE,,2,,Barren Planet;System Asteroid Belt,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
living-metal-symbionts,Living Metal Symbionts,"ELECTROMAGNETIC, UTILITY",BASIC RESOURCE,,5,,Dark Planet,MUD;ONI;USTUR,BIO_SYSTEM,0,,,,,,,,,,,,,,,,,,
lumanite,Lumanite,ENERGY;PROPULSION;DEFENSIVE,BASIC RESOURCE,,1,,Volcanic Planet,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
lunar-echo-crystals,Lunar Echo Crystals,"DEFENSIVE, ENERGY",BASIC RESOURCE,,5,,Oceanic Planet,MUD;ONI;USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
manganese-ore,Manganese Ore,KINETIC,BASIC RESOURCE,,2,,Barren Planet;Oceanic Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
methane,Methane,PROPULSION,BASIC RESOURCE,,2,,Dark Planet;System Asteroid Belt,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
neodymium,Neodymium,PROPULSION;UTILITY,BASIC RESOURCE,,1,,Dark Planet;Terrestrial Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
neon,Neon,DEFENSIVE,BASIC RESOURCE,,3,,Dark Planet;Gas Giant,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
neural-coral-compounds,Neural Coral Compounds,ELECTROMAGNETIC,BASIC RESOURCE,,3,,Oceanic Planet,MUD;ONI;USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
nitrogen,Nitrogen,THERMAL,BASIC RESOURCE,,1,,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
ochre-ore,Ochre Ore,"KINETIC, WEAPONS",BASIC RESOURCE,,4,,Terrestrial Planet,USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
opal-fragments,Opal Fragments,"UTILITY, WEAPONS",BASIC RESOURCE,,5,,Dark Planet,ONI,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
osmium-ore,Osmium Ore,PROPULSION,BASIC RESOURCE,,1,,Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
oxygen,Oxygen,UTILITY,BASIC RESOURCE,,2,,Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
palladium-ore,Palladium Ore,ELECTROMAGNETIC,BASIC RESOURCE,,3,,Volcanic Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
peridot-crystals,Peridot Crystals,UTILITY,BASIC RESOURCE,,2,,Ice Giant,MUD;ONI;USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
phase-shift-crystals,Phase Shift Crystals,PROPULSION,BASIC RESOURCE,,3,,Oceanic Planet,MUD;ONI;USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
plasma-containment-minerals,Plasma Containment Minerals,THERMAL,BASIC RESOURCE,,3,,Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
platinum-ore,Platinum Ore,ENERGY,BASIC RESOURCE,,3,,Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
quantum-computational-substrate,Quantum Computational Substrate,"PROPULSION, ELECTROMAGNETIC",BASIC RESOURCE,,4,,Dark Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
quantum-particle,Quantum Particle,"PROPULSION, ELECTROMAGNETIC",BASIC RESOURCE,,5,,Dark Planet;Ice Giant,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
quartz-crystals,Quartz Crystals,UTILITY,BASIC RESOURCE,,1,,System Asteroid Belt,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
radiant-dust,Radiant Dust,THERMAL,BASIC RESOURCE,,2,,Dark Planet,MUD,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
raw-chisenic,Raw Chisenic,UTILITY,BASIC RESOURCE,,3,,Dark Planet,ONI,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
resonium-ore,Resonium Ore,"KINETIC, UTILITY",BASIC RESOURCE,,5,,Barren Planet,MUD,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
rhenium-ore,Rhenium Ore,UTILITY,BASIC RESOURCE,,1,,System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
rhodium-ore,Rhodium Ore,"WEAPONS, ENERGY",BASIC RESOURCE,,4,,Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
rochinol,Rochinol,WEAPONS,BASIC RESOURCE,,2,,Barren Planet;Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
ruby-crystals,Ruby Crystals,DEFENSIVE;WEAPONS,BASIC RESOURCE,,2,,Ice Giant,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
sapphire-crystals,Sapphire Crystals,ENERGY,BASIC RESOURCE,,3,,Ice Giant,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
scandium-ore,Scandium Ore,ENERGY,BASIC RESOURCE,,2,,System Asteroid Belt,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
silica,Silica,ELECTROMAGNETIC;DEFENSIVE,BASIC RESOURCE,,1,,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
silicon-crystal,Silicon Crystal,ENERGY;UTILITY;HABITAT,BASIC RESOURCE,,1,,Dark Planet;System Asteroid Belt,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
silver-ore,Silver Ore,ENERGY;ELECTROMAGNETIC,BASIC RESOURCE,,2,,Dark Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
sodium-crystals,Sodium Crystals,ENERGY,BASIC RESOURCE,,1,,System Asteroid Belt,MUD;ONI;USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
strontium-crystals,Strontium Crystals,"WEAPONS, KINETIC",BASIC RESOURCE,,5,,System Asteroid Belt,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
tantalum-ore,Tantalum Ore,ELECTROMAGNETIC,BASIC RESOURCE,,1,,Volcanic Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
tenon-gas,Tenon Gas,THERMAL;PROPULSION,BASIC RESOURCE,,3,,Gas Giant,MUD,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
thermal-bloom-sediment,Thermal Bloom Sediment,THERMAL,BASIC RESOURCE,,2,,Oceanic Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
thermal-regulator-stone,Thermal Regulator Stone,THERMAL,BASIC RESOURCE,,1,,Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
thermoplastic-resin,Thermoplastic Resin,KINETIC,BASIC RESOURCE,,1,,Terrestrial Planet;Gas Giant,ONI,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
tin-ore,Tin Ore,KINETIC;HABITAT,BASIC RESOURCE,,1,,Barren Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
titanium-ore,Titanium Ore,KINETIC;PROPULSION;HABITAT,BASIC RESOURCE,,3,,System Asteroid Belt,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
topaz-crystals,Topaz Crystals,ELECTROMAGNETIC,BASIC RESOURCE,,2,,Dark Planet;Ice Giant,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
tritium-ore,Tritium Ore,ELECTROMAGNETIC,BASIC RESOURCE,,1,,System Asteroid Belt,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
tungsten-ore,Tungsten Ore,THERMAL;WEAPONS;HABITAT,BASIC RESOURCE,,3,,Barren Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
vanadium-ore,Vanadium Ore,KINETIC;WEAPONS;HABITAT,BASIC RESOURCE,,3,,Barren Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
viscovite-crystals,Viscovite Crystals,ELECTROMAGNETIC,BASIC RESOURCE,,3,,Dark Planet,USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
xenon,Xenon,PROPULSION,BASIC RESOURCE,,2,,Dark Planet;Gas Giant;Ice Giant,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
zinc-ore,Zinc Ore,KINETIC;HABITAT,BASIC RESOURCE,,1,,Barren Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
zirconium-ore,Zirconium Ore,"UTILITY, KINETIC",BASIC RESOURCE,,4,,Ice Giant,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
abyssal-chromite-extractor-t1,Abyssal Chromite Extractor T1,,BUILDING,,1,300,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,1,Polymer,1,Framework 1,1,Control Circuit,1,,,,,,,,,,,,
abyssal-chromite-extractor-t2,Abyssal Chromite Extractor T2,,BUILDING,,2,600,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,2,Polymer,1,Fiber Optic Bundle,1,Framework 1,1,,,,,,,,,,,,
abyssal-chromite-extractor-t3,Abyssal Chromite Extractor T3,,BUILDING,,3,900,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,3,Cooling System,1,Performance Monitor,1,Steel,1,Circuit Board,1,,,,,,,,,,
abyssal-chromite-extractor-t4,Abyssal Chromite Extractor T4,,BUILDING,,4,1200,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,4,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
abyssal-chromite-extractor-t5,Abyssal Chromite Extractor T5,,BUILDING,,5,1500,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,5,Quantum Data Processor,1,Framework 3,1,Neural Processing Core,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
abyssal-energy-crystals-extractor-t1,Abyssal Energy Crystals Extractor T1,,BUILDING,,1,300,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,1,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
abyssal-energy-crystals-extractor-t2,Abyssal Energy Crystals Extractor T2,,BUILDING,,2,600,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,2,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
abyssal-energy-crystals-extractor-t3,Abyssal Energy Crystals Extractor T3,,BUILDING,,3,900,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,3,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
abyssal-energy-crystals-extractor-t4,Abyssal Energy Crystals Extractor T4,,BUILDING,,4,1200,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,4,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
abyssal-energy-crystals-extractor-t5,Abyssal Energy Crystals Extractor T5,,BUILDING,,5,1500,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,5,Quantum Data Processor,1,Framework 3,1,Neural Processing Core,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
aluminum-ore-extractor-t1,Aluminum Ore Extractor T1,,BUILDING,,1,300,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,STRUCTURE,1,Control Circuit,1,Copper Wire,1,Framework 1,1,,,,,,,,,,,,
aluminum-ore-extractor-t2,Aluminum Ore Extractor T2,,BUILDING,,2,600,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,STRUCTURE,2,Control Circuit,1,Copper Wire,1,Framework 1,1,,,,,,,,,,,,
aluminum-ore-extractor-t3,Aluminum Ore Extractor T3,,BUILDING,,3,900,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,STRUCTURE,3,Cooling System,1,Circuit Board,1,Steel,1,Sensor Chip,1,,,,,,,,,,
aluminum-ore-extractor-t4,Aluminum Ore Extractor T4,,BUILDING,,4,1200,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,STRUCTURE,4,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
aluminum-ore-extractor-t5,Aluminum Ore Extractor T5,,BUILDING,,5,1500,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,STRUCTURE,5,Superconductor Grid,1,Framework 3,1,Neural Processing Core,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
germanium-extractor-t1,Germanium Extractor T1,,BUILDING,,1,300,Dark Planet;Ice Giant,USTUR,STRUCTURE,1,Drive Motor,1,Flow Regulator,1,Framework 1,1,,,,,,,,,,,,
germanium-extractor-t2,Germanium Extractor T2,,BUILDING,,2,600,Dark Planet;Ice Giant,USTUR,STRUCTURE,2,Drive Motor,1,Flow Regulator,1,Framework 1,1,,,,,,,,,,,,
germanium-extractor-t3,Germanium Extractor T3,,BUILDING,,3,900,Dark Planet;Ice Giant,USTUR,STRUCTURE,3,Circuit Board,1,Performance Monitor,1,Steel,1,Sensor Chip,1,,,,,,,,,,
germanium-extractor-t4,Germanium Extractor T4,,BUILDING,,4,1200,Dark Planet;Ice Giant,USTUR,STRUCTURE,4,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
germanium-extractor-t5,Germanium Extractor T5,,BUILDING,,5,1500,Dark Planet;Ice Giant,USTUR,STRUCTURE,5,Neural Processing Core,1,Framework 3,1,Quantum Data Processor,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
arco-extractor-t1,Arco Extractor T1,,BUILDING,,1,300,Barren Planet;Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,STRUCTURE,1,Control Circuit,1,Copper Wire,1,Framework 1,1,,,,,,,,,,,,
arco-extractor-t2,Arco Extractor T2,,BUILDING,,2,600,Barren Planet;Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,STRUCTURE,2,Control Circuit,1,Copper Wire,1,Framework 1,1,,,,,,,,,,,,
arco-extractor-t3,Arco Extractor T3,,BUILDING,,3,900,Barren Planet;Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,STRUCTURE,3,Circuit Board,1,Circuit Breaker Assembly,1,Steel,1,Sensor Chip,1,,,,,,,,,,
arco-extractor-t4,Arco Extractor T4,,BUILDING,,4,1200,Barren Planet;Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,STRUCTURE,4,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
arco-extractor-t5,Arco Extractor T5,,BUILDING,,5,1500,Barren Planet;Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,STRUCTURE,5,Neural Processing Core,1,Framework 3,1,Quantum Data Processor,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
argon-extractor-t1,Argon Extractor T1,,BUILDING,,1,300,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,1,Drive Motor,1,Framework 1,1,Iron,1,,,,,,,,,,,,
argon-extractor-t2,Argon Extractor T2,,BUILDING,,2,600,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,2,Drive Motor,1,Framework 1,1,Iron,1,,,,,,,,,,,,
argon-extractor-t3,Argon Extractor T3,,BUILDING,,3,900,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,3,Cooling System,1,Performance Monitor,1,Steel,1,Circuit Board,1,,,,,,,,,,
argon-extractor-t4,Argon Extractor T4,,BUILDING,,4,1200,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,4,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
argon-extractor-t5,Argon Extractor T5,,BUILDING,,5,1500,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,5,Quantum Data Processor,1,Framework 3,1,Neural Processing Core,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
bathysphere-pearls-extractor-t1,Bathysphere Pearls Extractor T1,,BUILDING,,1,300,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,1,Cooling System,1,Performance Monitor,1,Steel,1,Circuit Board,1,,,,,,,,,,
bathysphere-pearls-extractor-t2,Bathysphere Pearls Extractor T2,,BUILDING,,2,600,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,2,Cooling System,1,Performance Monitor,1,Steel,1,Circuit Board,1,,,,,,,,,,
bathysphere-pearls-extractor-t3,Bathysphere Pearls Extractor T3,,BUILDING,,3,900,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,3,Cooling System,1,Performance Monitor,1,Steel,1,Circuit Board,1,,,,,,,,,,
bathysphere-pearls-extractor-t4,Bathysphere Pearls Extractor T4,,BUILDING,,4,1200,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,4,Lock Mechanism,1,Framework 3,1,Power Junction Hub,1,Scanner Module,1,Magnet,1,Cooling System,1,Repair Kit 3,1,,,,
bathysphere-pearls-extractor-t5,Bathysphere Pearls Extractor T5,,BUILDING,,5,1500,Oceanic Planet,MUD;ONI;USTUR,STRUCTURE,5,Quantum Data Processor,1,Framework 3,1,Neural Processing Core,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
beryllium-crystals-extractor-t1,Beryllium Crystals Extractor T1,,BUILDING,,1,300,Dark Planet;Ice Giant,MUD;ONI;USTUR,STRUCTURE,1,Neural Processing Core,1,Framework 3,1,Quantum Data Processor,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
beryllium-crystals-extractor-t2,Beryllium Crystals Extractor T2,,BUILDING,,2,600,Dark Planet;Ice Giant,MUD;ONI;USTUR,STRUCTURE,2,Neural Processing Core,1,Framework 3,1,Quantum Data Processor,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
beryllium-crystals-extractor-t3,Beryllium Crystals Extractor T3,,BUILDING,,3,900,Dark Planet;Ice Giant,MUD;ONI;USTUR,STRUCTURE,3,Neural Processing Core,1,Framework 3,1,Quantum Data Processor,1,Scanner Module,1,Lock Mechanism,1,Quantum Energy Conduits,1,Repair Kit 3,1,,,,
