OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 28,Column 29,Column 30,Column 31
ship-component-heat-sink-s-t5,Heat Sink S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,9,Heat Sink S T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,
ship-component-heat-sink-m-t1,Heat Sink M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,,,
ship-component-heat-sink-m-t2,Heat Sink M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Heat Sink M T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,
ship-component-heat-sink-m-t3,Heat Sink M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Heat Sink M T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,
ship-component-heat-sink-m-t4,Heat Sink M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,8,Heat Sink M T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,
ship-component-heat-sink-m-t5,Heat Sink M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,9,Heat Sink M T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,
ship-component-heat-sink-l-t1,Heat Sink L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-heat-sink-l-t2,Heat Sink L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Heat Sink L T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-heat-sink-l-t3,Heat Sink L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Heat Sink L T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-heat-sink-l-t4,Heat Sink L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,10,Heat Sink L T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-heat-sink-l-t5,Heat Sink L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,11,Heat Sink L T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-heat-sink-cap-t1,Heat Sink CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-heat-sink-cap-t2,Heat Sink CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Heat Sink CAP T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-heat-sink-cap-t3,Heat Sink CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Heat Sink CAP T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-heat-sink-cap-t4,Heat Sink CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,10,Heat Sink CAP T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-heat-sink-cap-t5,Heat Sink CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,11,Heat Sink CAP T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-heat-sink-cmd-t1,Heat Sink CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-heat-sink-cmd-t2,Heat Sink CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Heat Sink CMD T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-heat-sink-cmd-t3,Heat Sink CMD T3,SHIP_COMPONENTS,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Heat Sink CMD T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-heat-sink-cmd-t4,Heat Sink CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,10,Heat Sink CMD T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-heat-sink-cmd-t5,Heat Sink CMD T5,SHIP_COMPONENTS,5,9600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,11,Heat Sink CMD T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-heat-sink-class8-t1,Heat Sink CLASS8 T1,SHIP_COMPONENTS,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-heat-sink-class8-t2,Heat Sink CLASS8 T2,SHIP_COMPONENTS,2,1080,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Heat Sink CLASS8 T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,
ship-component-heat-sink-class8-t3,Heat Sink CLASS8 T3,SHIP_COMPONENTS,3,2700,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Heat Sink CLASS8 T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,
ship-component-heat-sink-class8-t4,Heat Sink CLASS8 T4,SHIP_COMPONENTS,4,5400,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,10,Heat Sink CLASS8 T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,
ship-component-heat-sink-class8-t5,Heat Sink CLASS8 T5,SHIP_COMPONENTS,5,10800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,11,Heat Sink CLASS8 T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,
ship-component-heat-sink-ttn-t1,Heat Sink TTN T1,SHIP_COMPONENTS,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-heat-sink-ttn-t2,Heat Sink TTN T2,SHIP_COMPONENTS,2,1200,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Heat Sink TTN T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,
ship-component-heat-sink-ttn-t3,Heat Sink TTN T3,SHIP_COMPONENTS,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,10,Heat Sink TTN T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,
ship-component-heat-sink-ttn-t4,Heat Sink TTN T4,SHIP_COMPONENTS,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,11,Heat Sink TTN T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,
ship-component-heat-sink-ttn-t5,Heat Sink TTN T5,SHIP_COMPONENTS,5,12000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,12,Heat Sink TTN T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,
ship-component-hull-reinforcement-xxs-t1,Hull Reinforcement XXS T1,SHIP_COMPONENTS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xxs-t2,Hull Reinforcement XXS T2,SHIP_COMPONENTS,2,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Hull Reinforcement XXS T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xxs-t3,Hull Reinforcement XXS T3,SHIP_COMPONENTS,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement XXS T2,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xxs-t4,Hull Reinforcement XXS T4,SHIP_COMPONENTS,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,9,Hull Reinforcement XXS T3,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xxs-t5,Hull Reinforcement XXS T5,SHIP_COMPONENTS,5,2400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,10,Hull Reinforcement XXS T4,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xs-t1,Hull Reinforcement XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xs-t2,Hull Reinforcement XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Hull Reinforcement XS T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xs-t3,Hull Reinforcement XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement XS T2,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xs-t4,Hull Reinforcement XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,9,Hull Reinforcement XS T3,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xs-t5,Hull Reinforcement XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,10,Hull Reinforcement XS T4,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-s-t1,Hull Reinforcement S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-s-t2,Hull Reinforcement S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Hull Reinforcement S T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-s-t3,Hull Reinforcement S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement S T2,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-s-t4,Hull Reinforcement S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,9,Hull Reinforcement S T3,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-s-t5,Hull Reinforcement S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,10,Hull Reinforcement S T4,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-m-t1,Hull Reinforcement M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-m-t2,Hull Reinforcement M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Hull Reinforcement M T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-m-t3,Hull Reinforcement M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement M T2,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-m-t4,Hull Reinforcement M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,9,Hull Reinforcement M T3,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-m-t5,Hull Reinforcement M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,10,Hull Reinforcement M T4,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-l-t1,Hull Reinforcement L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-l-t2,Hull Reinforcement L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement L T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-hull-reinforcement-l-t3,Hull Reinforcement L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Hull Reinforcement L T2,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-hull-reinforcement-l-t4,Hull Reinforcement L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,10,Hull Reinforcement L T3,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-hull-reinforcement-l-t5,Hull Reinforcement L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,11,Hull Reinforcement L T4,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,,,,,,,,,,,,
ship-component-hull-reinforcement-cap-t1,Hull Reinforcement CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-hull-reinforcement-cap-t2,Hull Reinforcement CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement CAP T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-hull-reinforcement-cap-t3,Hull Reinforcement CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Hull Reinforcement CAP T2,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-hull-reinforcement-cap-t4,Hull Reinforcement CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,10,Hull Reinforcement CAP T3,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-hull-reinforcement-cap-t5,Hull Reinforcement CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,11,Hull Reinforcement CAP T4,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,
ship-component-hull-reinforcement-cmd-t1,Hull Reinforcement CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-hull-reinforcement-cmd-t2,Hull Reinforcement CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement CMD T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-hull-reinforcement-cmd-t3,Hull Reinforcement CMD T3,SHIP_COMPONENTS,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Hull Reinforcement CMD T2,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-hull-reinforcement-cmd-t4,Hull Reinforcement CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,10,Hull Reinforcement CMD T3,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-hull-reinforcement-cmd-t5,Hull Reinforcement CMD T5,SHIP_COMPONENTS,5,9600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,11,Hull Reinforcement CMD T4,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,
ship-component-hull-reinforcement-class8-t1,Hull Reinforcement CLASS8 T1,SHIP_COMPONENTS,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-hull-reinforcement-class8-t2,Hull Reinforcement CLASS8 T2,SHIP_COMPONENTS,2,1080,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Hull Reinforcement CLASS8 T1,1,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,
