OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,FunctionalPurpose,UsageCategory,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,CompletionStatus,InternalRecipeID,ProductionSteps,NOT_USED
temporal-flux-orchid,Temporal Flux Orchid,BASIC ORGANIC RESOURCE,3,,Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
umbral-rush-tendril,Umbral Rush Tendril,BASIC ORGANIC RESOURCE,2,,Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
abyssal-energy-crystals,Abyssal Energy Crystals,BASIC RESOURCE,4,,Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
aluminum-ore,Aluminum Ore,BASIC RESOURCE,2,,System Asteroid Belt; Ice Giant; Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
amber-resin,Amber Resin,BASIC RESOURCE,2,,Terrestrial Planet; Volcanic Planet,USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
arco,Arco,BASIC RESOURCE,1,,Terrestrial Planet; Barren Planet; Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
argon,Argon,BASIC RESOURCE,2,,Gas Giant; Dark Planet; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
bathysphere-pearls,Bathysphere Pearls,BASIC RESOURCE,3,,Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
beryllium-crystals,Beryllium Crystals,BASIC RESOURCE,5,,Dark Planet;Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
biolumite,Biolumite,BASIC RESOURCE,5,,Ice Giant,MUD,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
biomass,Biomass,BASIC RESOURCE,1,,Terrestrial Planet; Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
black-opal,Black Opal,BASIC RESOURCE,5,,Barren Planet,USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
boron-ore,Boron Ore,BASIC RESOURCE,2,,Barren Planet; Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
carbon,Carbon,BASIC RESOURCE,1,,System Asteroid Belt; Volcanic Planet; Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
chromite-ore,Chromite Ore,BASIC RESOURCE,1,,Oceanic Planet; Ice Giant; Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
cinnabar-crystals,Cinnabar Crystals,BASIC RESOURCE,3,,Volcanic Planet,MUD,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
cobalt-ore,Cobalt Ore,BASIC RESOURCE,2,,Volcanic Planet; Dark Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
copper-ore,Copper Ore,BASIC RESOURCE,1,,Terrestrial Planet; System Asteroid Belt; Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
cryo-formation-crystals,Cryo Formation Crystals,BASIC RESOURCE,3,,Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
diamond,Diamond,BASIC RESOURCE,2,,Volcanic Planet; Barren Planet; Dark Planet,MUD,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
dodiline-crystals,Dodiline Crystals,BASIC RESOURCE,4,,Volcanic Planet,USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
drywater,Drywater,BASIC RESOURCE,3,,Ice Giant;Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
dysprosium,Dysprosium,BASIC RESOURCE,4,,Terrestrial Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
emerald-crystals,Emerald Crystals,BASIC RESOURCE,3,,Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
fluorine-gas,Fluorine Gas,BASIC RESOURCE,2,,Gas Giant; Volcanic Planet; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
fusion-catalyst-deposits,Fusion Catalyst Deposits,BASIC RESOURCE,5,,Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
garnet-crystals,Garnet Crystals,BASIC RESOURCE,2,,System Asteroid Belt; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
germanium,Germanium,BASIC RESOURCE,1,,System Asteroid Belt; Ice Giant; Gas Giant,USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
glowstone-crystals,Glowstone Crystals,BASIC RESOURCE,3,,Volcanic Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
gold-ore,Gold Ore,BASIC RESOURCE,3,,Terrestrial Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
hafnium-ore,Hafnium Ore,BASIC RESOURCE,2,,System Asteroid Belt; Ice Giant; Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
hicenium-crystals,Hicenium Crystals,BASIC RESOURCE,4,,Ice Giant,MUD,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
hydrogen,Hydrogen,BASIC RESOURCE,1,,Gas Giant; Ice Giant; Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
ink,Ink,BASIC RESOURCE,1,,,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
iridium-ore,Iridium Ore,BASIC RESOURCE,4,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
iron-ore,Iron Ore,BASIC RESOURCE,1,,Terrestrial Planet; System Asteroid Belt; Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
jasphorus-crystals,Jasphorus Crystals,BASIC RESOURCE,5,,Barren Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
krypton,Krypton,BASIC RESOURCE,1,,Gas Giant; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
lithium-ore,Lithium Ore,BASIC RESOURCE,2,,Barren Planet; Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
living-metal-symbionts,Living Metal Symbionts,BASIC RESOURCE,5,,Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
lumanite,Lumanite,BASIC RESOURCE,1,,Volcanic Planet; Dark Planet; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
lunar-echo-crystals,Lunar Echo Crystals,BASIC RESOURCE,5,,Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
manganese-ore,Manganese Ore,BASIC RESOURCE,2,,System Asteroid Belt; Volcanic Planet; Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
methane,Methane,BASIC RESOURCE,2,,Gas Giant; Ice Giant; Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
nanosil,Nanosil,BASIC RESOURCE,3,,System Asteroid Belt; Dark Planet,USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
neodymium,Neodymium,BASIC RESOURCE,1,,System Asteroid Belt; Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
neon,Neon,BASIC RESOURCE,3,,Dark Planet;Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
neural-coral-compounds,Neural Coral Compounds,BASIC RESOURCE,3,,Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
nitrogen,Nitrogen,BASIC RESOURCE,1,,Terrestrial Planet; Gas Giant; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
ochre-ore,Ochre Ore,BASIC RESOURCE,4,,Terrestrial Planet,USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
opal-fragments,Opal Fragments,BASIC RESOURCE,5,,Dark Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
osmium-ore,Osmium Ore,BASIC RESOURCE,1,,System Asteroid Belt; Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
oxygen,Oxygen,BASIC RESOURCE,2,,Terrestrial Planet; Oceanic Planet; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
palladium-ore,Palladium Ore,BASIC RESOURCE,3,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
peridot-crystals,Peridot Crystals,BASIC RESOURCE,2,,Ice Giant; Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
phase-shift-crystals,Phase Shift Crystals,BASIC RESOURCE,3,,Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
plasma-containment-minerals,Plasma Containment Minerals,BASIC RESOURCE,3,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
platinum-ore,Platinum Ore,BASIC RESOURCE,3,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
quantum-computational-substrate,Quantum Computational Substrate,BASIC RESOURCE,4,,Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
quantum-particle,Quantum Particle,BASIC RESOURCE,5,,Dark Planet;Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
quartz-crystals,Quartz Crystals,BASIC RESOURCE,1,,Terrestrial Planet; Oceanic Planet; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
radiant-dust,Radiant Dust,BASIC RESOURCE,2,,Dark Planet,MUD,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
raw-chisenic,Raw Chisenic,BASIC RESOURCE,3,,Dark Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
resonium-ore,Resonium Ore,BASIC RESOURCE,5,,Barren Planet,MUD,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
rhenium-ore,Rhenium Ore,BASIC RESOURCE,1,,Volcanic Planet; Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
rhodium-ore,Rhodium Ore,BASIC RESOURCE,4,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
rochinol,Rochinol,BASIC RESOURCE,2,,Volcanic Planet; Ice Giant; Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
ruby-crystals,Ruby Crystals,BASIC RESOURCE,2,,Ice Giant; Dark Planet; Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
sapphire-crystals,Sapphire Crystals,BASIC RESOURCE,3,,Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
scandium-ore,Scandium Ore,BASIC RESOURCE,2,,System Asteroid Belt; Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
silica,Silica,BASIC RESOURCE,1,,Terrestrial Planet; System Asteroid Belt; Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
silicon-crystal,Silicon Crystal,BASIC RESOURCE,1,,Oceanic Planet; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
silver-ore,Silver Ore,BASIC RESOURCE,2,,Dark Planet; Barren Planet; Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
sodium-crystals,Sodium Crystals,BASIC RESOURCE,1,,Volcanic Planet; Barren Planet; Gas Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
strontium-crystals,Strontium Crystals,BASIC RESOURCE,5,,System Asteroid Belt,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
tantalum-ore,Tantalum Ore,BASIC RESOURCE,1,,Volcanic Planet; Barren Planet; Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
tenon-gas,Tenon Gas,BASIC RESOURCE,3,,Gas Giant,MUD,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
thermal-regulator-stone,Thermal Regulator Stone,BASIC RESOURCE,1,,Volcanic Planet; Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
thermodyne,Thermodyne,BASIC RESOURCE,2,,Oceanic Planet; Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
thermoplastic-resin,Thermoplastic Resin,BASIC RESOURCE,1,,Terrestrial Planet; Volcanic Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
tin-ore,Tin Ore,BASIC RESOURCE,1,,Terrestrial Planet; Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
titanium-ore,Titanium Ore,BASIC RESOURCE,3,,System Asteroid Belt,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
topaz-crystals,Topaz Crystals,BASIC RESOURCE,2,,Dark Planet; Ice Giant; Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
tritium-ore,Tritium Ore,BASIC RESOURCE,1,,System Asteroid Belt; Oceanic Planet; Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
tungsten-ore,Tungsten Ore,BASIC RESOURCE,3,,Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
vanadium-ore,Vanadium Ore,BASIC RESOURCE,3,,Barren Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
viscovite-crystals,Viscovite Crystals,BASIC RESOURCE,3,,Dark Planet,USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
xenon,Xenon,BASIC RESOURCE,2,,Gas Giant; Ice Giant; Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
zinc-ore,Zinc Ore,BASIC RESOURCE,1,,Terrestrial Planet; System Asteroid Belt,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
zirconium-ore,Zirconium Ore,BASIC RESOURCE,4,,Ice Giant,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,0,FALSE
abyssal-energy-core,Abyssal Energy Core,COMPONENT,4,,Dark Planet;Ice Giant;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Abyssal Energy Crystals,1,Energy Crystal Matrix,1,,,,,,,,,,,,,,,complete,,3,FALSE
adaptive-utility-core,Adaptive Utility Core,COMPONENT,5,,Dark Planet;Terrestrial Planet,MUD;ONI;USTUR,,,,Living Metal Symbionts,1,Chisenic Processor,1,,,,,,,,,,,,,,,complete,,3,FALSE
advanced-defense-core,Advanced Defense Core,COMPONENT,5,,Barren Planet;Dark Planet;Oceanic Planet;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Opal Defense Matrix,1,Lunar Defense Network,1,Dysprosium Shield,1,,,,,,,,,,,,,complete,,3,FALSE
advanced-sensor-grid,Advanced Sensor Grid,COMPONENT,2,,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet,MUD;ONI;USTUR,,,,Silver,1,Silicon Crystal,1,,,,,,,,,,,,,,,complete,,2,FALSE
advanced-weapon-core,Advanced Weapon Core,COMPONENT,4,,Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Dysprosium,1,Rhodium Power Core,1,,,,,,,,,,,,,,,complete,,3,FALSE
component-aerogel,Aerogel,COMPONENT,3,2,Gas Giant;Ice Giant;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Nitrogen,2,Silica,4,,,,,,,,,,,,,,,complete,,1,FALSE
alloy-frame,Alloy Frame,COMPONENT,1,,Barren Planet;Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,,,,Iron,1,Tin,1,,,,,,,,,,,,,,,complete,,2,FALSE
component-aluminum,Aluminum,COMPONENT,2,,Barren Planet;Ice Giant;System Asteroid Belt,MUD;ONI;USTUR,,,,Aluminum Ore,1,,,,,,,,,,,,,,,,,complete,,1,FALSE
ammo-control-core,Ammo Control Core,COMPONENT,3,,Barren Planet;System Asteroid Belt,MUD;ONI;USTUR,,,,Tungsten Core,1,Vanadium Alloy,1,,,,,,,,,,,,,,,complete,,3,FALSE
assembly-control-matrix,Assembly Control Matrix,COMPONENT,5,,Dark Planet;Ice Giant;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,,,,Living Metal Network,1,Quantum Interface Core,1,Zirconium Control Hub,1,,,,,,,,,,,,,complete,,4,FALSE
barrier-material,Barrier Material,COMPONENT,1,,Barren Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Silica,2,Iron,1,,,,,,,,,,,,,,,complete,,2,FALSE
base-structure,Base Structure,COMPONENT,1,,Ice Giant;Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,,,,Tin,2,Silicon Crystal,1,,,,,,,,,,,,,,,complete,,2,FALSE
beam-emitter,Beam Emitter,COMPONENT,2,,Barren Planet;Dark Planet;Gas Giant;Ice Giant,MUD;ONI;USTUR,,,,Ruby Crystals,1,Silver,1,,,,,,,,,,,,,,,complete,,2,FALSE
beam-interface-core,Beam Interface Core,COMPONENT,3,,Dark Planet;Oceanic Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,,,,Platinum Grid,1,Signal Modulator,1,Glowstone Crystals,1,,,,,,,,,,,,,complete,,3,FALSE
beryllium-matrix,Beryllium Matrix,COMPONENT,5,,Dark Planet;Ice Giant;Oceanic Planet,MUD;ONI;USTUR,,,,Beryllium Crystals,1,Utility Core,1,,,,,,,,,,,,,,,complete,,2,FALSE
bio-stabilizer,Bio Stabilizer,COMPONENT,2,,Ice Giant;Oceanic Planet;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Amber Resin,1,Quartz Crystals,1,,,,,,,,,,,,,,,complete,,1,FALSE
bioluminescent-interface,Bioluminescent Interface,COMPONENT,5,,Dark Planet;Ice Giant;Oceanic Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,,,,Biolumite,1,Neural Interface,1,,,,,,,,,,,,,,,complete,,3,FALSE
blast-charges,Blast Charges,COMPONENT,1,,Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt,MUD;ONI;USTUR,,,,Germanium Ingot,1,Hydrogen,1,,,,,,,,,,,,,,,complete,,2,FALSE
component-boron,Boron,COMPONENT,2,,Barren Planet;Gas Giant,MUD;ONI;USTUR,,,,Boron Ore,1,,,,,,,,,,,,,,,,,complete,,1,FALSE
boron-composite,Boron Composite,COMPONENT,2,,Barren Planet;Dark Planet;Gas Giant;Ice Giant,MUD;ONI;USTUR,,,,Boron,1,Argon,1,,,,,,,,,,,,,,,complete,,2,FALSE
capacitor-matrix-core,Capacitor Matrix Core,COMPONENT,3,,Dark Planet;Ice Giant;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,,,,Energy Crystal Matrix,1,Palladium Conductor,1,,,,,,,,,,,,,,,complete,,3,FALSE
capacity-control-core,Capacity Control Core,COMPONENT,4,,Ice Giant;Terrestrial Planet,MUD;ONI;USTUR,,,,Zirconium Control Hub,1,Utility Matrix,1,,,,,,,,,,,,,,,complete,,3,FALSE
chisenic-processor,Chisenic Processor,COMPONENT,3,,Dark Planet;Terrestrial Planet,ONI,,,,Raw Chisenic,1,Gold,1,,,,,,,,,,,,,,,complete,,2,FALSE
chromite,Chromite,COMPONENT,1,,Dark Planet;Ice Giant;Oceanic Planet,MUD;ONI;USTUR,,,,Chromite Ore,1,,,,,,,,,,,,,,,,,complete,,1,FALSE
climate-controller,Climate Controller,COMPONENT,2,,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Thermodyne,1,Argon,1,,,,,,,,,,,,,,,complete,,1,FALSE
component-cobalt,Cobalt,COMPONENT,2,,Dark Planet;Volcanic Planet,ONI,,,,Cobalt Ore,1,,,,,,,,,,,,,,,,,complete,,1,FALSE
command-module,Command Module,COMPONENT,1,,Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,,,,Processing Core,1,Monitoring Circuits,1,,,,,,,,,,,,,,,complete,,4,FALSE
control-circuit,Control Circuit,COMPONENT,1,,Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,,,,Silicon Wafers,1,Copper Wire,1,,,,,,,,,,,,,,,complete,,3,FALSE
control-interface,Control Interface,COMPONENT,1,,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,,,,Quartz Crystals,1,Copper Wire,1,,,,,,,,,,,,,,,complete,,3,FALSE
control-system-core,Control System Core,COMPONENT,4,,Dark Planet;Oceanic Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,,,,Electromagnetic Resonator,1,Dodiline Matrix,1,EM Quantum Core,1,,,,,,,,,,,,,complete,,4,FALSE
coolant-circulator,Coolant Circulator,COMPONENT,2,,Dark Planet;Gas Giant;Ice Giant,MUD;ONI;USTUR,,,,Argon,1,,,,,,,,,,,,,,,,,complete,,1,FALSE
cooling-network-hub,Cooling Network Hub,COMPONENT,3,,Gas Giant;Ice Giant,MUD;ONI;USTUR,,,,Propulsion Gas Mix,1,Cryogenic Core,1,,,,,,,,,,,,,,,complete,,2,FALSE
coordination-matrix,Coordination Matrix,COMPONENT,3,,Dark Planet;Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,,,,Utility Core,1,Gold Contacts,1,Viscovite Crystals,1,,,,,,,,,,,,,complete,,3,FALSE
component-copper,Copper,COMPONENT,1,1,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,,,,Copper Ore,1,,,,,,,,,,,,,,,,,complete,,1,FALSE
component-copper-wire,Copper Wire,COMPONENT,1,4,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,,,,Copper,1,,,,,,,,,,,,,,,,,complete,,2,FALSE
core-stabilizer,Core Stabilizer,COMPONENT,1,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Zinc,1,Silica,2,,,,,,,,,,,,,,,complete,,2,FALSE
coupling-control-core,Coupling Control Core,COMPONENT,3,,Dark Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,,,,Titanium Framework,1,Gold Contacts,1,,,,,,,,,,,,,,,complete,,3,FALSE
coupling-interface,Coupling Interface,COMPONENT,2,,Barren Planet;Dark Planet,MUD;ONI;USTUR,,,,Lithium,1,,,,,,,,,,,,,,,,,complete,,2,FALSE
cryogenic-catalyst,Cryogenic Catalyst,COMPONENT,1,,Gas Giant;Ice Giant;Oceanic Planet,MUD;ONI;USTUR,,,,Hydrogen,3,Krypton,2,,,,,,,,,,,,,,,complete,,1,FALSE
cryogenic-core,Cryogenic Core,COMPONENT,3,,Ice Giant,MUD;ONI;USTUR,,,,Cryo Formation Crystals,1,,,,,,,,,,,,,,,,,complete,,1,FALSE
component-crystal-lattice-1,Crystal Lattice MUD,COMPONENT,3,2,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Diamond,2,Hydrogen,7,,,,,,,,,,,,,,,complete,,1,FALSE
component-crystal-lattice-2,Crystal Lattice ONI,COMPONENT,3,2,Gas Giant;Ice Giant;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,,,,Hydrogen,7,Rochinol,2,,,,,,,,,,,,,,,complete,,1,FALSE
component-crystal-lattice-3,Crystal Lattice Ustur,COMPONENT,3,2,Barren Planet;Gas Giant;Ice Giant;Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,,,,Arco,2,Hydrogen,7,,,,,,,,,,,,,,,complete,,1,FALSE
