OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9
krypton,Krypton,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
lithium-ore,Lithium Ore,BASIC RESOURCE,2,,Barren Planet;System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
living-metal-symbionts,Living Metal Symbionts,BASIC RESOURCE,5,,Dark Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
lumanite,Lumanite,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
lunar-echo-crystals,Lunar Echo Crystals,BASIC RESOURCE,5,,Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
manganese-ore,Manganese Ore,BASIC RESOURCE,2,,System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
methane,Methane,BASIC RESOURCE,2,,Terrestrial Planet;System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
neodymium,Neodymium,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
neon,Neon,BASIC RESOURCE,3,,Dark Planet;Gas Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
neural-coral-compounds,Neural Coral Compounds,BASIC RESOURCE,3,,Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
nitrogen,Nitrogen,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
ochre-ore,Ochre Ore,BASIC RESOURCE,4,,Terrestrial Planet,USTUR,0,,,,,,,,,,,,,,,,,,
opal-fragments,Opal Fragments,BASIC RESOURCE,5,,Dark Planet,ONI,0,,,,,,,,,,,,,,,,,,
osmium-ore,Osmium Ore,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
oxygen,Oxygen,BASIC RESOURCE,2,,Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
palladium-ore,Palladium Ore,BASIC RESOURCE,3,,Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
peridot-crystals,Peridot Crystals,BASIC RESOURCE,2,,Ice Giant;Volcanic Planet;System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
phase-shift-crystals,Phase Shift Crystals,BASIC RESOURCE,3,,Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
plasma-containment-minerals,Plasma Containment Minerals,BASIC RESOURCE,3,,Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
platinum-ore,Platinum Ore,BASIC RESOURCE,3,,Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
quantum-computational-substrate,Quantum Computational Substrate,BASIC RESOURCE,4,,Dark Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
quantum-particle,Quantum Particle,BASIC RESOURCE,5,,Dark Planet;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
quartz-crystals,Quartz Crystals,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
radiant-dust,Radiant Dust,BASIC RESOURCE,2,,Dark Planet,MUD,0,,,,,,,,,,,,,,,,,,
raw-chisenic,Raw Chisenic,BASIC RESOURCE,3,,Dark Planet,ONI,0,,,,,,,,,,,,,,,,,,
resonium-ore,Resonium Ore,BASIC RESOURCE,5,,Barren Planet,MUD,0,,,,,,,,,,,,,,,,,,
rhenium-ore,Rhenium Ore,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
rhodium-ore,Rhodium Ore,BASIC RESOURCE,4,,Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
rochinol,Rochinol,BASIC RESOURCE,2,,Volcanic Planet;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
ruby-crystals,Ruby Crystals,BASIC RESOURCE,2,,Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
sapphire-crystals,Sapphire Crystals,BASIC RESOURCE,3,,Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
scandium-ore,Scandium Ore,BASIC RESOURCE,2,,System Asteroid Belt;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
silica,Silica,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
silicon-crystal,Silicon Crystal,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
silver-ore,Silver Ore,BASIC RESOURCE,2,,Dark Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
sodium-crystals,Sodium Crystals,BASIC RESOURCE,1,,System Asteroid Belt;Volcanic Planet;System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
strontium-crystals,Strontium Crystals,BASIC RESOURCE,5,,System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
tantalum-ore,Tantalum Ore,BASIC RESOURCE,1,,Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
tenon-gas,Tenon Gas,BASIC RESOURCE,3,,Gas Giant,MUD,0,,,,,,,,,,,,,,,,,,
thermodyne,Thermodyne,BASIC RESOURCE,2,,Oceanic Planet;Volcanic Planet;System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
thermal-regulator-stone,Thermal Regulator Stone,BASIC RESOURCE,1,,Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
thermoplastic-resin,Thermoplastic Resin,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,ONI,0,,,,,,,,,,,,,,,,,,
tin-ore,Tin Ore,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
titanium-ore,Titanium Ore,BASIC RESOURCE,3,,System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
topaz-crystals,Topaz Crystals,BASIC RESOURCE,2,,Dark Planet;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
tritium-ore,Tritium Ore,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
tungsten-ore,Tungsten Ore,BASIC RESOURCE,3,,Barren Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
vanadium-ore,Vanadium Ore,BASIC RESOURCE,3,,Barren Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
viscovite-crystals,Viscovite Crystals,BASIC RESOURCE,3,,Dark Planet,USTUR,0,,,,,,,,,,,,,,,,,,
xenon,Xenon,BASIC RESOURCE,2,,Dark Planet;Gas Giant;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
zinc-ore,Zinc Ore,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
zirconium-ore,Zirconium Ore,BASIC RESOURCE,4,,Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
aegis-barrier-cactus,Aegis Barrier Cactus,BASIC ORGANIC RESOURCE,2,,Barren Planet,USTUR,1,,,,,,,,,,,,,,,,,,
bioluminous-algae,Bioluminous Algae,BASIC ORGANIC RESOURCE,2,,Oceanic Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
cinder-crown-blossom,Cinder-Crown Blossom,BASIC ORGANIC RESOURCE,2,,Volcanic Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
magma-heart-bryophyte,Magma-Heart Bryophyte,BASIC ORGANIC RESOURCE,1,,Volcanic Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
marine-bio-extract,Marine Bio Extract,BASIC ORGANIC RESOURCE,1,,Oceanic Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
obsidian-shell-tuber,Obsidian Shell Tuber,BASIC ORGANIC RESOURCE,1,,Volcanic Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
plasma-burn-lichen,Plasma-Burn Lichen,BASIC ORGANIC RESOURCE,3,,System Asteroid Belt,MUD,1,,,,,,,,,,,,,,,,,,
pyroclast-energen,Pyroclast Energen,BASIC ORGANIC RESOURCE,1,,Volcanic Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
shadow-sight-fronds,Shadow-Sight Fronds,BASIC ORGANIC RESOURCE,1,,Dark Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
spectral-shade-moss,Spectral Shade Moss,BASIC ORGANIC RESOURCE,3,,Dark Planet,ONI,1,,,,,,,,,,,,,,,,,,
temporal-flux-orchid,Temporal Flux Orchid,BASIC ORGANIC RESOURCE,3,,Dark Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
umbral-rush-tendril,Umbral Rush Tendril,BASIC ORGANIC RESOURCE,2,,Dark Planet,MUD;ONI;USTUR,1,,,,,,,,,,,,,,,,,,
abyssal-energy-core,Abyssal Energy Core,COMPONENT,4,,Ice Giant;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,3,Abyssal Energy Crystals,1,Energy Crystal Matrix,1,,,,,,,,,,,,,,
adaptive-utility-core,Adaptive Utility Core,COMPONENT,5,,Dark Planet;Terrestrial Planet,MUD;ONI;USTUR,3,Living Metal Symbionts,1,Chisenic Processor,1,,,,,,,,,,,,,,
advanced-defense-core,Advanced Defense Core,COMPONENT,5,,Barren Planet;Dark Planet;Oceanic Planet;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Opal Defense Matrix,1,Lunar Defense Network,1,Dysprosium Shield,1,,,,,,,,,,,,
advanced-sensor-grid,Advanced Sensor Grid,COMPONENT,2,,Dark Planet;Gas Giant;Ice Giant;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,2,Silver,1,Peridot Crystals,1,,,,,,,,,,,,,,
advanced-weapon-core,Advanced Weapon Core,COMPONENT,4,,Terrestrial Planet,MUD;ONI;USTUR,1,Dysprosium,1,,,,,,,,,,,,,,,,
component-aerogel,Aerogel,COMPONENT,3,2,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Nitrogen,2,Silica,4,,,,,,,,,,,,,,
alloy-frame,Alloy Frame,COMPONENT,1,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,2,Iron,1,Tin,1,,,,,,,,,,,,,,
component-aluminum,Aluminum,COMPONENT,2,,Ice Giant;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,1,Aluminum Ore,1,,,,,,,,,,,,,,,,
ammo-control-core,Ammo Control Core,COMPONENT,3,,Barren Planet;System Asteroid Belt,MUD;ONI;USTUR,3,Tungsten Core,1,Vanadium Alloy,1,,,,,,,,,,,,,,
assembly-control-matrix,Assembly Control Matrix,COMPONENT,5,,Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,4,Living Metal Network,1,Quantum Interface Core,1,Zirconium Control Hub,1,,,,,,,,,,,,
barrier-material,Barrier Material,COMPONENT,1,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Silica,2,Krypton,1,,,,,,,,,,,,,,
base-structure,Base Structure,COMPONENT,1,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,2,Tin,2,Silicon Crystal,1,,,,,,,,,,,,,,
beam-emitter,Beam Emitter,COMPONENT,2,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Garnet Crystals,1,Diamond,1,,,,,,,,,,,,,,
beam-interface-core,Beam Interface Core,COMPONENT,3,,Dark Planet;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,3,Platinum Grid,1,Signal Modulator,1,,,,,,,,,,,,,,
beryllium-matrix,Beryllium Matrix,COMPONENT,5,,Dark Planet;Ice Giant;Oceanic Planet,MUD;ONI;USTUR,2,Beryllium Crystals,1,Utility Core,1,,,,,,,,,,,,,,
bio-stabilizer,Bio Stabilizer,COMPONENT,2,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,USTUR,1,Amber Resin,1,,,,,,,,,,,,,,,,
bioluminescent-interface,Bioluminescent Interface,COMPONENT,5,,Ice Giant;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,3,Biolumite,1,Neural Interface,1,,,,,,,,,,,,,,
blast-charges,Blast Charges,COMPONENT,1,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Germanium Ingot,1,Hydrogen,1,,,,,,,,,,,,,,
component-boron,Boron,COMPONENT,2,,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,1,Boron Ore,1,,,,,,,,,,,,,,,,
boron-composite,Boron Composite,COMPONENT,2,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Boron,1,Argon,1,,,,,,,,,,,,,,
capacitor-matrix-core,Capacitor Matrix Core,COMPONENT,3,,Ice Giant;Volcanic Planet,MUD;ONI;USTUR,3,Energy Crystal Matrix,1,Palladium Conductor,1,,,,,,,,,,,,,,
capacity-control-core,Capacity Control Core,COMPONENT,4,,Ice Giant;Terrestrial Planet,MUD;ONI;USTUR,3,Zirconium Control Hub,1,Utility Matrix,1,,,,,,,,,,,,,,
chisenic-processor,Chisenic Processor,COMPONENT,3,,Dark Planet;Terrestrial Planet,ONI,2,Raw Chisenic,1,Gold,1,,,,,,,,,,,,,,
chromite,Chromite,COMPONENT,1,,Ice Giant;Oceanic Planet;System Asteroid Belt,MUD;ONI;USTUR,1,Chromite Ore,1,,,,,,,,,,,,,,,,
climate-controller,Climate Controller,COMPONENT,2,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Thermodyne,1,Argon,1,,,,,,,,,,,,,,
component-cobalt,Cobalt,COMPONENT,2,,Terrestrial Planet;Volcanic Planet,ONI,1,Cobalt Ore,1,,,,,,,,,,,,,,,,
command-module,Command Module,COMPONENT,1,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,4,Processing Core,1,Monitoring Circuits,1,,,,,,,,,,,,,,
control-circuit,Control Circuit,COMPONENT,1,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,3,Silicon Wafers,1,Copper Wire,1,,,,,,,,,,,,,,
control-interface,Control Interface,COMPONENT,1,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,3,Quartz Crystals,1,Copper Wire,1,,,,,,,,,,,,,,
control-system-core,Control System Core,COMPONENT,4,,Dark Planet;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,4,Electromagnetic Resonator,1,Dodiline Matrix,1,EM Quantum Core,1,,,,,,,,,,,,
coolant-circulator,Coolant Circulator,COMPONENT,2,,Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Argon,1,,,,,,,,,,,,,,,,
cooling-network-hub,Cooling Network Hub,COMPONENT,3,,Gas Giant;Ice Giant,MUD;ONI;USTUR,2,Propulsion Gas Mix,1,Cryogenic Core,1,,,,,,,,,,,,,,
coordination-matrix,Coordination Matrix,COMPONENT,3,,Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,3,Utility Core,1,Gold Contacts,1,,,,,,,,,,,,,,
component-copper,Copper,COMPONENT,1,1,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,1,Copper Ore,1,,,,,,,,,,,,,,,,
component-copper-wire,Copper Wire,COMPONENT,1,4,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,2,Copper,1,,,,,,,,,,,,,,,,
core-stabilizer,Core Stabilizer,COMPONENT,1,,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Zinc,1,Silica,2,,,,,,,,,,,,,,
coupling-control-core,Coupling Control Core,COMPONENT,3,,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,3,Titanium Framework,1,Gold Contacts,1,,,,,,,,,,,,,,
coupling-interface,Coupling Interface,COMPONENT,2,,Barren Planet;System Asteroid Belt,MUD;ONI;USTUR,2,Lithium,1,,,,,,,,,,,,,,,,
cryogenic-catalyst,Cryogenic Catalyst,COMPONENT,1,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Hydrogen,3,Krypton,2,,,,,,,,,,,,,,
cryogenic-core,Cryogenic Core,COMPONENT,3,,Ice Giant,MUD;ONI;USTUR,1,Cryo Formation Crystals,1,,,,,,,,,,,,,,,,
component-crystal-lattice-1,Crystal Lattice MUD,COMPONENT,3,2,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Diamond,2,Hydrogen,7,,,,,,,,,,,,,,
component-crystal-lattice-2,Crystal Lattice ONI,COMPONENT,3,2,Ice Giant;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Hydrogen,7,Rochinol,2,,,,,,,,,,,,,,
component-crystal-lattice-3,Crystal Lattice Ustur,COMPONENT,3,2,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Arco,2,Hydrogen,7,,,,,,,,,,,,,,
crystal-matrix,Crystal Matrix,COMPONENT,2,,Ice Giant;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Diamond,1,Hafnium Alloy,1,,,,,,,,,,,,,,
current-limiter,Current Limiter,COMPONENT,2,,Terrestrial Planet;Volcanic Planet,MUD,1,Diamond,1,,,,,,,,,,,,,,,,
defense-command-node,Defense Command Node,COMPONENT,3,,Dark Planet;Gas Giant,MUD;ONI;USTUR,2,Neon Buffer,1,Defense Crystal Array,1,,,,,,,,,,,,,,
defense-coordination-core,Defense Coordination Core,COMPONENT,4,,Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Dysprosium Shield,1,Iridium Armor Plating,1,,,,,,,,,,,,,,
defense-crystal-array,Defense Crystal Array,COMPONENT,3,,Dark Planet,MUD;ONI;USTUR,1,Emerald Crystals,1,,,,,,,,,,,,,,,,
defense-integration-core,Defense Integration Core,COMPONENT,3,,Dark Planet;Volcanic Planet,MUD;ONI;USTUR,2,Defense Crystal Array,1,Luminous Shield Matrix,1,,,,,,,,,,,,,,
deployment-interface,Deployment Interface,COMPONENT,3,,Dark Planet;Oceanic Planet;Terrestrial Planet,MUD;ONI;USTUR,3,Gold Contacts,1,Signal Modulator,1,,,,,,,,,,,,,,
dimensional-stabilizer,Dimensional Stabilizer,COMPONENT,1,,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,2,Chromite,1,Tritium,2,,,,,,,,,,,,,,
dispersal-gas-mix,Dispersal Gas Mix,COMPONENT,1,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Hydrogen,1,Krypton,1,,,,,,,,,,,,,,
dispersal-mechanism,Dispersal Mechanism,COMPONENT,1,,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,1,Nitrogen,1,Krypton,1,,,,,,,,,,,,,,
dodiline-matrix,Dodiline Matrix,COMPONENT,4,,Volcanic Planet,USTUR,1,Dodiline Crystals,1,,,,,,,,,,,,,,,,
drive-assembly-core,Drive Assembly Core,COMPONENT,5,,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,5,Jasphorus Propulsion Core,1,Quantum Drive Matrix,1,Quantum Processor,1,Navigation Control Core,1,,,,,,,,,,
dysprosium-shield,Dysprosium Shield,COMPONENT,4,,Terrestrial Planet,MUD;ONI;USTUR,1,Dysprosium,1,,,,,,,,,,,,,,,,
component-electromagnet,Electromagnet,COMPONENT,2,16,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,3,Copper Wire,4,Magnet,1,,,,,,,,,,,,,,
electromagnetic-barrier,Electromagnetic Barrier,COMPONENT,2,,Dark Planet;Ice Giant;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Topaz Crystals,1,Cobalt,1,,,,,,,,,,,,,,
electromagnetic-resonator,Electromagnetic Resonator,COMPONENT,4,,Oceanic Planet;Volcanic Planet,MUD;ONI;USTUR,3,Abyssal Energy Crystals,1,Palladium Conductor,1,,,,,,,,,,,,,,
component-electronics,Electronics,COMPONENT,1,14,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Copper,1,Polymer,1,,,,,,,,,,,,,,
