OutputID	OutputName	OutputType	OutputTier	ConstructionTime	PlanetTypes	Factions	ResourceType	ProductionSteps	Ingredient1	Quantity1	Ingredient2	Quantity2	Ingredient3	Quantity3	Ingredient4	Quantity4	Ingredient5	Quantity5	Ingredient6	Quantity6	Ingredient7	Quantity7	Ingredient8	Quantity8
barren-storage-hub-t1	Storage Hub	BUILDING	1	120	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco	25	Copper Ore	18	Tin Ore	12										
barren-storage-hub-t2	Storage Hub	BUILDING	2	180	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	30	Metal Framework	22	Krypton Systems	15	Copper	12								
barren-storage-hub-t3	Storage Hub	BUILDING	3	240	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	35	Metal Framework	28	Krypton Systems	20	Copper	15	Tin	12	Zinc	10				
barren-storage-hub-t4	Storage Hub	BUILDING	4	360	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	45	Metal Framework	35	Krypton Systems	28	Copper	20	Tin	18	Zinc	15	Composite Plating	8		
barren-storage-hub-t5	Storage Hub	BUILDING	5	480	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	55	Metal Framework	45	Krypton Systems	35	Copper	25	Tin	25	Zinc	20	Composite Plating	12		

barren-farm-hub-t1	Farm Hub	BUILDING	1	120	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco	25	Copper Ore	18	Tin Ore	12										
barren-farm-hub-t2	Farm Hub	BUILDING	2	180	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	30	Metal Framework	22	Krypton Systems	15	Copper	12								
barren-farm-hub-t3	Farm Hub	BUILDING	3	240	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	35	Metal Framework	28	Krypton Systems	20	Copper	15	Tin	12	Zinc	10				
barren-farm-hub-t4	Farm Hub	BUILDING	4	360	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	45	Metal Framework	35	Krypton Systems	28	Copper	20	Tin	18	Zinc	15	Composite Plating	8		
barren-farm-hub-t5	Farm Hub	BUILDING	5	480	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	55	Metal Framework	45	Krypton Systems	35	Copper	25	Tin	25	Zinc	20	Composite Plating	12		

barren-power-plant-t1	Power Plant	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco	20	Copper Ore	15	Tin Ore	10										
barren-power-plant-t2	Power Plant	BUILDING	2	135	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	25	Metal Framework	18	Krypton Systems	12	Copper	8								
barren-power-plant-t3	Power Plant	BUILDING	3	180	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	30	Metal Framework	22	Krypton Systems	15	Copper	12	Tin	8	Zinc	6				
barren-power-plant-t4	Power Plant	BUILDING	4	270	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	35	Metal Framework	28	Krypton Systems	20	Copper	15	Tin	12	Zinc	10	Composite Plating	6		
barren-power-plant-t5	Power Plant	BUILDING	5	360	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	45	Metal Framework	35	Krypton Systems	25	Copper	20	Tin	18	Zinc	15	Composite Plating	10		

barren-crew-quarters-t1	Crew Quarters	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco	20	Copper Ore	15	Tin Ore	10										
barren-crew-quarters-t2	Crew Quarters	BUILDING	2	135	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	25	Metal Framework	18	Krypton Systems	12	Copper	8								
barren-crew-quarters-t3	Crew Quarters	BUILDING	3	180	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	30	Metal Framework	22	Krypton Systems	15	Copper	12	Tin	8	Zinc	6				
barren-crew-quarters-t4	Crew Quarters	BUILDING	4	270	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	35	Metal Framework	28	Krypton Systems	20	Copper	15	Tin	12	Zinc	10	Composite Plating	6		
barren-crew-quarters-t5	Crew Quarters	BUILDING	5	360	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	45	Metal Framework	35	Krypton Systems	25	Copper	20	Tin	18	Zinc	15	Composite Plating	10		

# BASIC COMPONENT PROCESSORS (Convert Raw Materials to Basic Components - Bootstrap Exception)
barren-arco-panels-processor-t1	Arco Panels Processor	BUILDING	1	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Arco	15	Zinc	12												
barren-arco-panels-processor-t2	Arco Panels Processor	BUILDING	2	45	Barren Planet	MUD;ONI;USTUR	Processing	1	Arco	18	Zinc	15	Copper	8										
barren-arco-panels-processor-t3	Arco Panels Processor	BUILDING	3	30	Barren Planet	MUD;ONI;USTUR	Processing	1	Arco	20	Zinc	18	Copper	12	Tin	6								
barren-arco-panels-processor-t4	Arco Panels Processor	BUILDING	4	25	Barren Planet	MUD;ONI;USTUR	Processing	1	Arco	25	Zinc	20	Copper	15	Tin	10	Lithium Ore	4						
barren-arco-panels-processor-t5	Arco Panels Processor	BUILDING	5	20	Barren Planet	MUD;ONI;USTUR	Processing	1	Arco	30	Zinc	25	Copper	18	Tin	12	Lithium Ore	8	Rochinol	3				

barren-metal-framework-processor-t1	Metal Framework Processor	BUILDING	1	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	18	Zinc	15	Tin	10										
barren-metal-framework-processor-t2	Metal Framework Processor	BUILDING	2	45	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	20	Zinc	18	Tin	12	Arco	8								
barren-metal-framework-processor-t3	Metal Framework Processor	BUILDING	3	30	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	25	Zinc	20	Tin	15	Arco	10	Krypton	6							
barren-metal-framework-processor-t4	Metal Framework Processor	BUILDING	4	25	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	30	Zinc	25	Tin	18	Arco	12	Krypton	8	Lithium Ore	4					
barren-metal-framework-processor-t5	Metal Framework Processor	BUILDING	5	20	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	35	Zinc	30	Tin	22	Arco	15	Krypton	10	Lithium Ore	6	Rochinol	2			

barren-krypton-systems-processor-t1	Krypton Systems Processor	BUILDING	1	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	18	Copper	15												
barren-krypton-systems-processor-t2	Krypton Systems Processor	BUILDING	2	45	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	20	Copper	18	Zinc	8										
barren-krypton-systems-processor-t3	Krypton Systems Processor	BUILDING	3	30	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	25	Copper	20	Zinc	12	Tin	6								
barren-krypton-systems-processor-t4	Krypton Systems Processor	BUILDING	4	25	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	30	Copper	25	Zinc	15	Tin	10	Arco	4						
barren-krypton-systems-processor-t5	Krypton Systems Processor	BUILDING	5	20	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	35	Copper	30	Zinc	18	Tin	12	Arco	8	Lithium Ore	2				

# REFINED ORE PROCESSORS (Convert Ores to Refined Metals)
barren-copper-processor-t1	Copper Processor	BUILDING	1	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper Ore	15	Zinc	12												
barren-copper-processor-t2	Copper Processor	BUILDING	2	45	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper Ore	18	Zinc	15	Tin	8										
barren-copper-processor-t3	Copper Processor	BUILDING	3	30	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper Ore	20	Zinc	18	Tin	12	Arco	6								
barren-copper-processor-t4	Copper Processor	BUILDING	4	25	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper Ore	25	Zinc	20	Tin	15	Arco	10	Krypton	4						
barren-copper-processor-t5	Copper Processor	BUILDING	5	20	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper Ore	30	Zinc	25	Tin	18	Arco	12	Krypton	8	Lithium Ore	2				

barren-tin-processor-t1	Tin Processor	BUILDING	1	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Tin Ore	15	Copper	12												
barren-tin-processor-t2	Tin Processor	BUILDING	2	45	Barren Planet	MUD;ONI;USTUR	Processing	1	Tin Ore	18	Copper	15	Zinc	8										
barren-tin-processor-t3	Tin Processor	BUILDING	3	30	Barren Planet	MUD;ONI;USTUR	Processing	1	Tin Ore	20	Copper	18	Zinc	12	Arco	6								
barren-tin-processor-t4	Tin Processor	BUILDING	4	25	Barren Planet	MUD;ONI;USTUR	Processing	1	Tin Ore	25	Copper	20	Zinc	15	Arco	10	Krypton	4						
barren-tin-processor-t5	Tin Processor	BUILDING	5	20	Barren Planet	MUD;ONI;USTUR	Processing	1	Tin Ore	30	Copper	25	Zinc	18	Arco	12	Krypton	8	Lithium Ore	2				

barren-zinc-processor-t1	Zinc Processor	BUILDING	1	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc Ore	15	Copper	12												
barren-zinc-processor-t2	Zinc Processor	BUILDING	2	45	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc Ore	18	Copper	15	Tin	8										
barren-zinc-processor-t3	Zinc Processor	BUILDING	3	30	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc Ore	20	Copper	18	Tin	12	Arco	6								
barren-zinc-processor-t4	Zinc Processor	BUILDING	4	25	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc Ore	25	Copper	20	Tin	15	Arco	10	Krypton	4						
barren-zinc-processor-t5	Zinc Processor	BUILDING	5	20	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc Ore	30	Copper	25	Tin	18	Arco	12	Krypton	8	Lithium Ore	2				

barren-lithium-processor-t1	Lithium Processor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium Ore	15	Arco	12	Copper	8										
barren-lithium-processor-t2	Lithium Processor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium Ore	18	Arco	15	Copper	12	Zinc	6								
barren-lithium-processor-t3	Lithium Processor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium Ore	20	Arco	18	Copper	15	Zinc	10	Tin	4						
barren-lithium-processor-t4	Lithium Processor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium Ore	25	Arco	20	Copper	18	Zinc	12	Tin	8	Krypton	3				
barren-lithium-processor-t5	Lithium Processor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium Ore	30	Arco	25	Copper	22	Zinc	15	Tin	12	Krypton	6				

barren-manganese-processor-t1	Manganese Processor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Processing	1	Manganese Ore	15	Arco	12	Copper	8										
barren-manganese-processor-t2	Manganese Processor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Processing	1	Manganese Ore	18	Arco	15	Copper	12	Zinc	6								
barren-manganese-processor-t3	Manganese Processor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Manganese Ore	20	Arco	18	Copper	15	Zinc	10	Tin	4						
barren-manganese-processor-t4	Manganese Processor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Processing	1	Manganese Ore	25	Arco	20	Copper	18	Zinc	12	Tin	8	Krypton	3				
barren-manganese-processor-t5	Manganese Processor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Processing	1	Manganese Ore	30	Arco	25	Copper	22	Zinc	15	Tin	12	Krypton	6				

barren-tungsten-processor-t1	Tungsten Processor	BUILDING	1	150	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten Ore	18	Arco	15	Copper	12	Zinc	8								
barren-tungsten-processor-t2	Tungsten Processor	BUILDING	2	120	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten Ore	22	Arco	18	Copper	15	Zinc	12	Tin	6						
barren-tungsten-processor-t3	Tungsten Processor	BUILDING	3	100	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten Ore	25	Arco	20	Copper	18	Zinc	15	Tin	10	Lithium	4				
barren-tungsten-processor-t4	Tungsten Processor	BUILDING	4	80	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten Ore	30	Arco	25	Copper	22	Zinc	18	Tin	12	Lithium	8	Manganese	3		
barren-tungsten-processor-t5	Tungsten Processor	BUILDING	5	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten Ore	35	Arco	30	Copper	25	Zinc	20	Tin	15	Lithium	12	Manganese	6		

barren-vanadium-processor-t1	Vanadium Processor	BUILDING	1	150	Barren Planet	MUD;ONI;USTUR	Processing	1	Vanadium Ore	18	Arco	15	Copper	12	Zinc	8								
barren-vanadium-processor-t2	Vanadium Processor	BUILDING	2	120	Barren Planet	MUD;ONI;USTUR	Processing	1	Vanadium Ore	22	Arco	18	Copper	15	Zinc	12	Tin	6						
barren-vanadium-processor-t3	Vanadium Processor	BUILDING	3	100	Barren Planet	MUD;ONI;USTUR	Processing	1	Vanadium Ore	25	Arco	20	Copper	18	Zinc	15	Tin	10	Lithium	4				
barren-vanadium-processor-t4	Vanadium Processor	BUILDING	4	80	Barren Planet	MUD;ONI;USTUR	Processing	1	Vanadium Ore	30	Arco	25	Copper	22	Zinc	18	Tin	12	Lithium	8	Manganese	3		
barren-vanadium-processor-t5	Vanadium Processor	BUILDING	5	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Vanadium Ore	35	Arco	30	Copper	25	Zinc	20	Tin	15	Lithium	12	Manganese	6		

barren-resonium-processor-t1	Resonium Processor	BUILDING	1	240	Barren Planet	MUD	Processing	1	Resonium Ore	25	Tungsten	20	Vanadium	18	Lithium	15								
barren-resonium-processor-t2	Resonium Processor	BUILDING	2	200	Barren Planet	MUD	Processing	1	Resonium Ore	30	Tungsten	25	Vanadium	22	Lithium	18	Manganese	12						
barren-resonium-processor-t3	Resonium Processor	BUILDING	3	160	Barren Planet	MUD	Processing	1	Resonium Ore	35	Tungsten	30	Vanadium	25	Lithium	20	Manganese	15	Composite Plating	10				
barren-resonium-processor-t4	Resonium Processor	BUILDING	4	120	Barren Planet	MUD	Processing	1	Resonium Ore	40	Tungsten	35	Vanadium	30	Lithium	25	Manganese	20	Composite Plating	15	Tungsten Framework	8		
barren-resonium-processor-t5	Resonium Processor	BUILDING	5	100	Barren Planet	MUD	Processing	1	Resonium Ore	50	Tungsten	40	Vanadium	35	Lithium	30	Manganese	25	Composite Plating	20	Tungsten Framework	12		

# ADVANCED COMPONENT PROCESSORS (Use processed materials)
barren-composite-plating-processor-t1	Composite Plating Processor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium	20	Manganese	15	Tin	12										
barren-composite-plating-processor-t2	Composite Plating Processor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium	25	Manganese	18	Tin	15	Arco Panels	6								
barren-composite-plating-processor-t3	Composite Plating Processor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium	30	Manganese	22	Tin	18	Arco Panels	10	Metal Framework	4						
barren-composite-plating-processor-t4	Composite Plating Processor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium	35	Manganese	25	Tin	22	Arco Panels	12	Metal Framework	8	Krypton Systems	3				
barren-composite-plating-processor-t5	Composite Plating Processor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Processing	1	Lithium	40	Manganese	30	Tin	25	Arco Panels	15	Metal Framework	12	Krypton Systems	6				

barren-tungsten-framework-processor-t1	Tungsten Framework Processor	BUILDING	1	150	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	25	Vanadium	18	Arco	12										
barren-tungsten-framework-processor-t2	Tungsten Framework Processor	BUILDING	2	120	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	30	Vanadium	22	Arco	15	Lithium	8								
barren-tungsten-framework-processor-t3	Tungsten Framework Processor	BUILDING	3	100	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	35	Vanadium	25	Arco	18	Lithium	12	Manganese	6						
barren-tungsten-framework-processor-t4	Tungsten Framework Processor	BUILDING	4	80	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	40	Vanadium	30	Arco	22	Lithium	15	Manganese	10	Composite Plating	4				
barren-tungsten-framework-processor-t5	Tungsten Framework Processor	BUILDING	5	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	50	Vanadium	35	Arco	25	Lithium	20	Manganese	15	Composite Plating	8				

barren-resonium-matrix-processor-t1	Resonium Matrix Processor	BUILDING	1	240	Barren Planet	MUD;ONI;USTUR	Processing	1	Resonium	30	Tungsten	25	Lithium	20										
barren-resonium-matrix-processor-t2	Resonium Matrix Processor	BUILDING	2	200	Barren Planet	MUD;ONI;USTUR	Processing	1	Resonium	35	Tungsten	30	Lithium	25	Vanadium	15								
barren-resonium-matrix-processor-t3	Resonium Matrix Processor	BUILDING	3	160	Barren Planet	MUD;ONI;USTUR	Processing	1	Resonium	40	Tungsten	35	Lithium	30	Vanadium	20	Tungsten Framework	12						
barren-resonium-matrix-processor-t4	Resonium Matrix Processor	BUILDING	4	120	Barren Planet	MUD;ONI;USTUR	Processing	1	Resonium	50	Tungsten	40	Lithium	35	Vanadium	25	Tungsten Framework	18	Composite Plating	10				
barren-resonium-matrix-processor-t5	Resonium Matrix Processor	BUILDING	5	100	Barren Planet	MUD;ONI;USTUR	Processing	1	Resonium	60	Tungsten	50	Lithium	40	Vanadium	30	Tungsten Framework	25	Composite Plating	15				

# EXISTING COMPONENT PROCESSORS (Reusing compatible components)
barren-copper-wire-processor-t1	Copper Wire Processor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	20	Arco Panels	12	Metal Framework	8										
barren-copper-wire-processor-t2	Copper Wire Processor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	25	Arco Panels	15	Metal Framework	12	Krypton Systems	6								
barren-copper-wire-processor-t3	Copper Wire Processor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	30	Arco Panels	18	Metal Framework	15	Krypton Systems	10	Tin	4						
barren-copper-wire-processor-t4	Copper Wire Processor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	35	Arco Panels	22	Metal Framework	18	Krypton Systems	12	Tin	8	Zinc	3				
barren-copper-wire-processor-t5	Copper Wire Processor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Processing	1	Copper	40	Arco Panels	25	Metal Framework	20	Krypton Systems	15	Tin	12	Zinc	6				

barren-ground-plate-processor-t1	Ground Plate Processor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc	20	Copper	15	Arco Panels	8										
barren-ground-plate-processor-t2	Ground Plate Processor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc	25	Copper	18	Arco Panels	12	Metal Framework	6								
barren-ground-plate-processor-t3	Ground Plate Processor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc	30	Copper	20	Arco Panels	15	Metal Framework	10	Tin	4						
barren-ground-plate-processor-t4	Ground Plate Processor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc	35	Copper	25	Arco Panels	18	Metal Framework	12	Tin	8	Lithium	3				
barren-ground-plate-processor-t5	Ground Plate Processor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Processing	1	Zinc	40	Copper	30	Arco Panels	22	Metal Framework	15	Tin	12	Lithium	6				

barren-inert-gas-canisters-processor-t1	Inert Gas Canisters Processor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	25	Arco Panels	12	Metal Framework	8										
barren-inert-gas-canisters-processor-t2	Inert Gas Canisters Processor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	30	Arco Panels	15	Metal Framework	12	Copper	6								
barren-inert-gas-canisters-processor-t3	Inert Gas Canisters Processor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	35	Arco Panels	18	Metal Framework	15	Copper	10	Zinc	4						
barren-inert-gas-canisters-processor-t4	Inert Gas Canisters Processor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	40	Arco Panels	22	Metal Framework	18	Copper	12	Zinc	8	Tin	3				
barren-inert-gas-canisters-processor-t5	Inert Gas Canisters Processor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Processing	1	Krypton	45	Arco Panels	25	Metal Framework	20	Copper	15	Zinc	12	Tin	6				

barren-tungsten-core-processor-t1	Tungsten Core Processor	BUILDING	1	150	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	25	Arco Panels	18	Metal Framework	12										
barren-tungsten-core-processor-t2	Tungsten Core Processor	BUILDING	2	120	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	30	Arco Panels	22	Metal Framework	15	Krypton Systems	8								
barren-tungsten-core-processor-t3	Tungsten Core Processor	BUILDING	3	100	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	35	Arco Panels	25	Metal Framework	18	Krypton Systems	12	Composite Plating	6						
barren-tungsten-core-processor-t4	Tungsten Core Processor	BUILDING	4	80	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	40	Arco Panels	30	Metal Framework	22	Krypton Systems	15	Composite Plating	10	Vanadium	4				
barren-tungsten-core-processor-t5	Tungsten Core Processor	BUILDING	5	60	Barren Planet	MUD;ONI;USTUR	Processing	1	Tungsten	50	Arco Panels	35	Metal Framework	25	Krypton Systems	20	Composite Plating	15	Vanadium	8				

# RAW RESOURCE EXTRACTORS
# T1 Resources: Arco, Copper Ore, Krypton, Tin Ore, Zinc Ore
barren-arco-extractor-t1	Arco Extractor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	10	Metal Framework	8												
barren-arco-extractor-t2	Arco Extractor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	12	Metal Framework	10	Krypton Systems	4										
barren-arco-extractor-t3	Arco Extractor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	15	Metal Framework	12	Krypton Systems	6	Copper	3								
barren-arco-extractor-t4	Arco Extractor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	18	Metal Framework	15	Krypton Systems	8	Copper	5	Zinc	2						
barren-arco-extractor-t5	Arco Extractor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	20	Metal Framework	18	Krypton Systems	10	Copper	8	Zinc	5	Tin	2				

barren-copper-ore-extractor-t1	Copper Ore Extractor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	8	Krypton Systems	6												
barren-copper-ore-extractor-t2	Copper Ore Extractor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	10	Krypton Systems	8	Metal Framework	4										
barren-copper-ore-extractor-t3	Copper Ore Extractor	BUILDING	3	60	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	12	Krypton Systems	10	Metal Framework	6	Tin	3								
barren-copper-ore-extractor-t4	Copper Ore Extractor	BUILDING	4	50	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	15	Krypton Systems	12	Metal Framework	8	Tin	5	Zinc	2						
barren-copper-ore-extractor-t5	Copper Ore Extractor	BUILDING	5	40	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	18	Krypton Systems	15	Metal Framework	10	Tin	8	Zinc	5	Lithium	2				

barren-krypton-extractor-t1	Krypton Extractor	BUILDING	1	90	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	10	Metal Framework	8	Copper Wire	6										
barren-krypton-extractor-t2	Krypton Extractor	BUILDING	2	75	Barren Planet	MUD;ONI;USTUR	Extraction	0	Arco Panels	12	Metal Framework	10	Copper Wire	8	Zinc	4								
